"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"HGNC Symbol","HGNC ID","IUPHAR Name","IUPHAR ID","GtP URL"
"ABCB9","50","ABCB9","776","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=776"
"ABCC1","51","ABCC1","779","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=779"
"ABCC10","52","ABCC10","785","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=785"
"ABCC11","14639","ABCC11","786","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=786"
"ABCC12","14640","ABCC12","787","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=787"
"ABCC2","53","ABCC2","780","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=780"
"ABCC3","54","ABCC3","781","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=781"
"ABCC4","55","ABCC4","782","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=782"
"ABCC5","56","ABCC5","783","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=783"
"ABCC6","57","ABCC6","784","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=784"
"ABCC8","59","ATP-binding cassette, sub-family C (CFTR/MRP), member 8","2594","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2594"
"ABCC9","60","ABCC9","2746","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2746"
"ABCD1","61","ABCD1","788","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=788"
"ABCD2","66","ABCD2","789","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=789"
"ABCD3","67","ABCD3","790","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=790"
"ABCG1","73","ABCG1","791","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=791"
"ABCG2","74","ABCG2","792","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=792"
"ABCG4","13884","ABCG4","793","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=793"
"ABCG5","13886","ABCG5","794","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=794"
"ABCG8","13887","ABCG8","795","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=795"
"ABHD12","15868","&alpha;&beta;-Hydrolase 12","3070","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3070"
"ABHD2","18717","&alpha;&beta;-Hydrolase 2","3147","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3147"
"ABHD6","21398","&alpha;&beta;-Hydrolase 6","2919","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2919"
"ABL1","76","ABL proto-oncogene 1, non-receptor tyrosine kinase","1923","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1923"
"ABL2","77","ABL proto-oncogene 2, non-receptor tyrosine kinase","1924","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1924"
"ACACA","84","Acetyl-CoA carboxylase 1","1263","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1263"
"ACACB","85","Acetyl-CoA carboxylase 2","1264","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1264"
"ACAT1","93","acetyl-CoA acetyltransferase 1","2435","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2435"
"ACAT2","94","acetyl-CoA acetyltransferase 2","2436","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2436"
"ACE","2707","Angiotensin-converting enzyme","1613","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1613"
"ACE2","13557","Angiotensin-converting enzyme 2","1614","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1614"
"ACER1","18356","alkaline ceramidase 1","2468","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2468"
"ACER2","23675","alkaline ceramidase 2","2469","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2469"
"ACER3","16066","alkaline ceramidase 3","2470","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2470"
"ACHE","108","acetylcholinesterase (Yt blood group)","2465","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2465"
"ACKR1","4035","ACKR1","316","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=316"
"ACKR2","1565","ACKR2","314","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=314"
"ACKR3","23692","ACKR3","80","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=80"
"ACKR4","1611","ACKR4","315","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=315"
"ACLY","115","ATP citrate lyase","3245","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3245"
"ACOD1","33904","aconitate decarboxylase 1","3018","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3018"
"ACR","126","acrosin","2327","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2327"
"ACSS2","15814","acyl-CoA synthetase short chain family member 2","3128","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3128"
"ACVR1","171","activin A receptor type 1","1785","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1785"
"ACVR1B","172","activin A receptor type 1B","1787","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1787"
"ACVR1C","18123","activin A receptor type 1C","1790","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1790"
"ACVR2A","173","activin A receptor type 2A","1791","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1791"
"ACVR2B","174","activin A receptor type 2B","1792","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1792"
"ACVRL1","175","activin A receptor type IL","1784","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1784"
"ADA","186","Adenosine deaminase","1230","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1230"
"ADAM10","188","ADAM10","1658","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1658"
"ADAM11","189","ADAM11","1659","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1659"
"ADAM12","190","ADAM12","1660","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1660"
"ADAM15","193","ADAM15","1661","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1661"
"ADAM17","195","ADAM17","1662","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1662"
"ADAM18","196","ADAM18","1663","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1663"
"ADAM19","197","ADAM19","1664","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1664"
"ADAM2","198","ADAM2","1651","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1651"
"ADAM20","199","ADAM20","1665","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1665"
"ADAM21","200","ADAM21","1666","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1666"
"ADAM22","201","ADAM22","1667","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1667"
"ADAM23","202","ADAM23","1668","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1668"
"ADAM28","206","ADAM28","1669","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1669"
"ADAM29","207","ADAM29","1670","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1670"
"ADAM30","208","ADAM30","1671","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1671"
"ADAM32","15479","ADAM32","1672","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1672"
"ADAM33","15478","ADAM33","1673","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1673"
"ADAM7","214","ADAM7","1655","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1655"
"ADAM8","215","ADAM8","1656","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1656"
"ADAM9","216","ADAM9","1657","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1657"
"ADAMTS1","217","ADAMTS1","1674","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1674"
"ADAMTS10","13201","ADAMTS10","1683","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1683"
"ADAMTS12","14605","ADAMTS12","1684","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1684"
"ADAMTS13","1366","ADAMTS13","1685","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1685"
"ADAMTS14","14899","ADAMTS14","1686","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1686"
"ADAMTS15","16305","ADAMTS15","1687","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1687"
"ADAMTS16","17108","ADAMTS16","1688","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1688"
"ADAMTS17","17109","ADAMTS17","1689","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1689"
"ADAMTS18","17110","ADAMTS18","1690","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1690"
"ADAMTS19","17111","ADAMTS19","1691","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1691"
"ADAMTS2","218","ADAMTS2","1675","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1675"
"ADAMTS20","17178","ADAMTS20","1692","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1692"
"ADAMTS3","219","ADAMTS3","1676","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1676"
"ADAMTS4","220","ADAMTS4","1677","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1677"
"ADAMTS5","221","ADAMTS5","1678","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1678"
"ADAMTS6","222","ADAMTS6","1679","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1679"
"ADAMTS7","223","ADAMTS7","1680","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1680"
"ADAMTS8","224","ADAMTS8","1681","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1681"
"ADAMTS9","13202","ADAMTS9","1682","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1682"
"ADCK1","19038","aarF domain containing kinase 1","1925","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1925"
"ADCK2","19039","aarF domain containing kinase 2","1926","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1926"
"ADCK5","21738","aarF domain containing kinase 5","1929","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1929"
"ADCY1","232","adenylyl cyclase 1","1278","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1278"
"ADCY10","21285","adenylyl cyclase 10","3068","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3068"
"ADCY2","233","adenylyl cyclase 2","1279","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1279"
"ADCY3","234","adenylyl cyclase 3","1280","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1280"
"ADCY4","235","adenylyl cyclase 4","1281","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1281"
"ADCY5","236","adenylyl cyclase 5","1282","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1282"
"ADCY6","237","adenylyl cyclase 6","1283","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1283"
"ADCY7","238","adenylyl cyclase 7","1284","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1284"
"ADCY8","239","adenylyl cyclase 8","1285","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1285"
"ADCY9","240","adenylyl cyclase 9","1286","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1286"
"ADCYAP1","241","PACAP-38","2258","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=2258"
"ADCYAP1R1","242","PAC<sub>1</sub> receptor","370","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=370"
"ADGRA1","13838","ADGRA1","197","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=197"
"ADGRA2","17849","ADGRA2","198","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=198"
"ADGRA3","13839","ADGRA3","199","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=199"
"ADGRB1","943","ADGRB1","174","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=174"
"ADGRB2","944","ADGRB2","175","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=175"
"ADGRB3","945","ADGRB3","176","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=176"
"ADGRD1","19893","ADGRD1","202","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=202"
"ADGRD2","18651","ADGRD2","204","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=204"
"ADGRE1","3336","ADGRE1","182","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=182"
"ADGRE2","3337","ADGRE2","183","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=183"
"ADGRE3","23647","ADGRE3","184","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=184"
"ADGRE4P","19240","ADGRE4P","185","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=185"
"ADGRE5","1711","ADGRE5","177","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=177"
"ADGRF1","18990","ADGRF1","190","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=190"
"ADGRF2P","18991","ADGRF2","191","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=191"
"ADGRF3","18989","ADGRF3","193","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=193"
"ADGRF4","19011","ADGRF4","195","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=195"
"ADGRF5","19030","ADGRF5","196","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=196"
"ADGRG1","4512","ADGRG1","186","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=186"
"ADGRG2","4516","ADGRG2","187","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=187"
"ADGRG3","13728","ADGRG3","188","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=188"
"ADGRG4","18992","ADGRG4","192","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=192"
"ADGRG5","19010","ADGRG5","194","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=194"
"ADGRG6","13841","ADGRG6","200","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=200"
"ADGRG7","19241","ADGRG7","201","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=201"
"ADGRL1","20973","ADGRL1","206","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=206"
"ADGRL2","18582","ADGRL2","207","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=207"
"ADGRL3","20974","ADGRL3","208","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=208"
"ADGRL4","20822","ADGRL4","181","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=181"
"ADGRV1","17416","ADGRV1","189","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=189"
"ADIPOQ","13633","adiponectin","3726","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=3726"
"ADIPOR1","24040","Adipo1 receptor","649","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=649"
"ADIPOR2","24041","Adipo2 receptor","650","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=650"
"ADK","257","Adenosine kinase","1231","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1231"
"ADM","259","adrenomedullin","683","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=683"
"ADM2","28898","adrenomedullin 2/intermedin","684","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=684"
"ADORA1","262","A<sub>1</sub> receptor","18","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=18"
"ADORA2A","263","A<sub>2A</sub> receptor","19","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=19"
"ADORA2B","264","A<sub>2B</sub> receptor","20","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=20"
"ADORA3","268","A<sub>3</sub> receptor","21","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=21"
"ADRA1A","277","&alpha;<sub>1A</sub>-adrenoceptor","22","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=22"
"ADRA1B","278","&alpha;<sub>1B</sub>-adrenoceptor","23","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=23"
"ADRA1D","280","&alpha;<sub>1D</sub>-adrenoceptor","24","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=24"
"ADRA2A","281","&alpha;<sub>2A</sub>-adrenoceptor","25","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=25"
"ADRA2B","282","&alpha;<sub>2B</sub>-adrenoceptor","26","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=26"
"ADRA2C","283","&alpha;<sub>2C</sub>-adrenoceptor","27","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=27"
"ADRB1","285","&beta;<sub>1</sub>-adrenoceptor","28","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=28"
"ADRB2","286","&beta;<sub>2</sub>-adrenoceptor","29","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=29"
"ADRB3","288","&beta;<sub>3</sub>-adrenoceptor","30","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=30"
"AEBP1","303","AE binding protein 1","1586","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1586"
"AGER","320","advanced glycosylation end-product specific receptor","2843","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2843"
"AGRN","329","agrin","5319","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5319"
"AGRP","330","agouti-related protein","1335","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=1335"
"AGT","333","angiotensin I","583","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=583"
"AGTR1","336","AT<sub>1</sub> receptor","34","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=34"
"AGTR2","338","AT<sub>2</sub> receptor","35","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=35"
"AHCY","343","S-Adenosylhomocysteine hydrolase","1233","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1233"
"AHR","348","Aryl hydrocarbon receptor","2951","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2951"
"AIM2","357","absent in melanoma 2","2923","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2923"
"AKR1B1","381","aldo-keto reductase family 1 member B","2768","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2768"
"AKR1C3","386","AKR1C3","1382","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1382"
"AKT1","391","AKT serine/threonine kinase 1","1479","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1479"
"AKT2","392","AKT serine/threonine kinase 2","1480","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1480"
"AKT3","393","AKT serine/threonine kinase 3","2286","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2286"
"ALDH2","404","aldehyde dehydrogenase 2 family member","2595","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2595"
"ALDH5A1","408","aldehyde dehydrogenase 5 family member A1","2466","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2466"
"ALDH9A1","412","aldehyde dehydrogenase 9 family member A1","2467","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2467"
"ALK","427","ALK receptor tyrosine kinase","1839","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1839"
"ALOX12","429","12S-LOX","1387","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1387"
"ALOX12B","430","12R-LOX","1386","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1386"
"ALOX15","433","15-LOX-1","1388","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1388"
"ALOX15B","434","15-LOX-2","1389","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1389"
"ALOX5","435","5-LOX","1385","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1385"
"ALOX5AP","436","5-LOX activating protein","5183","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5183"
"ALOXE3","13743","E-LOX","1390","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1390"
"ALPK1","20917","alpha kinase 1","1930","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1930"
"ALPK3","17574","alpha kinase 3","1931","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1931"
"AMBP","453","ulinastatin","10359","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=10359"
"AMD1","457","S-Adenosylmethionine decarboxylase ","1269","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1269"
"AMH","464","M&uuml;llerian inhibiting substance","6686","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=6686"
"AMHR2","465","anti-Mullerian hormone receptor type 2","1793","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1793"
"AMY2A","477","amylase alpha 2A","2596","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2596"
"ANGPT1","484","angiopoietin-1","4867","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4867"
"ANGPT2","485","angiopoietin-2","5316","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5316"
"ANGPT4","487","angiopoietin-4","4868","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=4868"
"ANGPTL1","489","angiopoietin protein-like 1","5317","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5317"
"ANGPTL3","491","angiopoietin-like 3","8716","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=8716"
"ANGPTL7","24078","angiopoietin-related protein 7","5321","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=5321"
"ANKH","15492","ANKH inorganic pyrophosphate transport regulator","3046","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3046"
"ANKK1","21027","ankyrin repeat and kinase domain containing 1","1932","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1932"
"ANO1","21625","CaCC","708","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=708"
"ANPEP","500","Aminopeptidase N","1560","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1560"
"ANXA1","533","annexin I","1031","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=1031"
"AOAH","548","acyloxyacyl hydrolase","2873","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2873"
"AOC3","550","amine oxidase copper containing 3","2767","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2767"
"AOPEP","1361","Aminopeptidase O","1561","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1561"
"AOX1","553","aldehyde oxidase 1","3186","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=3186"
"APCS","584","amyloid P component, serum","2839","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2839"
"APEH","586","acylaminoacyl-peptide hydrolase","2328","https://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=2328"
"APELA","48925","Elabela/Toddler-32","8524","https://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=8524"
