"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Ligand ID","Ligand Name","Ligand Type","Ligand Species","Ligand UniProt ID","Ligand Ensembl Gene ID","Ligand Subunit ID","Ligand Subunit Name","Ligand Subunit UniProt ID","Ligand Subunit Ensembl ID","Target ID","Target Name","Target Species","Target UniProt ID","Target Ensembl Gene ID","Target Subunit ID","Target Subunit Name","Target Subunit UniProt ID","Target Subunit Ensembl ID","Rank Potency","Rank Potency Refs (PMIDs)","List Comment","Interaction Species","Interaction Parameter","Interaction Value","Interaction PubMed IDs"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","5","5-HT<sub>1F</sub> receptor","Human","P30939","ENSG00000179097","","","","","","","","Human","pKi","7.7 - 8.0","15900510|8380639|9225282"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","5","5-HT<sub>1F</sub> receptor","Human","P30939","ENSG00000179097","","","","","","","","Human","pKd","8.0","8380639"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","5","5-HT<sub>1F</sub> receptor","Rat","P30940","ENSRNOG00000000716","","","","","","","","Rat","pIC50","7.2","8384716"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","6","5-HT<sub>2A</sub> receptor","Human","P28223","ENSG00000102468","","","","","","","","Human","pKi","6.0 - 8.4","15322733|8534270|12954071|2233697|8114677|8663249"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","6","5-HT<sub>2A</sub> receptor","Human","P28223","ENSG00000102468","","","","","","","","Human","pKd","8.9","8534270"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","6","5-HT<sub>2A</sub> receptor","Rat","P14842","ENSRNOG00000010063","","","","","","","","Rat","pKi","6.0 - 6.5","11040033|11104741|9655845"
"125","tryptamine","Metabolite","","","","","","","","6","5-HT<sub>2A</sub> receptor","Human","P28223","ENSG00000102468","","","","","","","","Human","pKi","5.5 - 7.6","15322733|2233697|8114677"
"125","tryptamine","Metabolite","","","","","","","","6","5-HT<sub>2A</sub> receptor","Rat","P14842","ENSRNOG00000010063","","","","","","","","Rat","pKi","7.1","8114677"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","7","5-HT<sub>2B</sub> receptor","Human","P41595","ENSG00000135914","","","","","","","","Human","pKi","7.9 - 8.4","15322733|12954071|11104741|8078486|15466450"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","7","5-HT<sub>2B</sub> receptor","Rat","P30994","ENSRNOG00000017625","","","","","","","","Rat","pKi","8.0","8450835"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","8","5-HT<sub>2C</sub> receptor","Human","P28335","ENSG00000147246","","","","","","","","Human","pKi","6.8 - 8.6","15322733|12954071|10217294|10611640|14709324"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","8","5-HT<sub>2C</sub> receptor","Rat","P08909","ENSRNOG00000030877","","","","","","","","Rat","pKi","6.7 - 7.9","11104741|9282936"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","9","5-HT<sub>4</sub> receptor","Human","Q13639","ENSG00000164270","","","","","","","","Human","pKi","5.9 - 7.0","9603189|9351641|9349523|10646498|10683202|11030734|10821780|15466450|15351779|11218067"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","9","5-HT<sub>4</sub> receptor","Human","Q13639","ENSG00000164270","","","","","","","","Human","pKd","8.4 - 8.8","10646498"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","9","5-HT<sub>4</sub> receptor","Mouse","P97288","ENSMUSG00000026322","","","","","","","","Mouse","pKi","7.2","8946946"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","9","5-HT<sub>4</sub> receptor","Rat","Q62758","ENSRNOG00000019134","","","","","","","","Rat","pKi","6.7 - 8.2","7796807|8813606|9225293"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","9","5-HT<sub>4</sub> receptor","Rat","Q62758","ENSRNOG00000019134","","","","","","","","Rat","pKd","7.7","8813606"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","10","5-HT<sub>5A</sub> receptor","Human","P47898","ENSG00000157219","","","","","","","","Human","pKi","6.7 - 6.9","7988681|11343685"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","10","5-HT<sub>5A</sub> receptor","Mouse","P30966","ENSMUSG00000039106","","","","","","","","Mouse","pKi","6.0 - 6.6","8450829|11343685|8549774"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","10","5-HT<sub>5A</sub> receptor","Rat","P35364","ENSRNOG00000007066","","","","","","","","Rat","pKi","6.6","7682702"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","11","5-HT<sub>6</sub> receptor","Human","P50406","ENSG00000158748","","","","","","","","Human","pKi","6.8 - 7.5","8522988|9730917|9284367"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","11","5-HT<sub>6</sub> receptor","Rat","P31388","ENSRNOG00000049761","","","","","","","","Rat","pKi","6.6 - 7.9","7680751|9225298|9798944|9730917"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","11","5-HT<sub>6</sub> receptor","Rat","P31388","ENSRNOG00000049761","","","","","","","","Rat","pKd","7.9","9225298"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","12","5-HT<sub>7</sub> receptor","Human","P34969","ENSG00000148680","","","","","","","","Human","pKi","8.1 - 9.6","12527336|11414657|9298538|8226867|9720804"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","12","5-HT<sub>7</sub> receptor","Mouse","P32304","ENSMUSG00000024798","","","","","","","","Mouse","pKi","8.3","8394987"
"5","5-hydroxytryptamine","Metabolite","","","","","","","","12","5-HT<sub>7</sub> receptor","Rat","P32305","ENSRNOG00000018827","","","","","","","","Rat","pKi","8.7 - 9.2","8394362|8397408"
"294","acetylcholine","Metabolite","","","","","","","","13","M<sub>1</sub> receptor","Human","P11229","ENSG00000168539","","","","","","","","Human","pKi","4.3 - 4.9","9224827|23798605"
"294","acetylcholine","Metabolite","","","","","","","","13","M<sub>1</sub> receptor","Rat","P08482","ENSRNOG00000018385","","","","","","","","Rat","pKi","5.0","12235229"
"294","acetylcholine","Metabolite","","","","","","","","14","M<sub>2</sub> receptor","Human","P08172","ENSG00000181072","","","","","","","","Human","pKi","4.3 - 6.5","12235229|9224827|23798605"
"294","acetylcholine","Metabolite","","","","","","","","14","M<sub>2</sub> receptor","Rat","P10980","ENSRNOG00000046972","","","","","","","","Rat","pKi","6.4","9454790"
"294","acetylcholine","Metabolite","","","","","","","","15","M<sub>3</sub> receptor","Human","P20309","ENSG00000133019","","","","","","","","Human","pKi","4.5 - 5.4","12235229|9224827|23798605"
"294","acetylcholine","Metabolite","","","","","","","","15","M<sub>3</sub> receptor","Rat","P08483","ENSRNOG00000049410","","","","","","","","Rat","pKi","5.6","12235229"
"294","acetylcholine","Metabolite","","","","","","","","16","M<sub>4</sub> receptor","Human","P08173","ENSG00000180720","","","","","","","","Human","pKi","4.5 - 5.6","9224827|23798605"
"294","acetylcholine","Metabolite","","","","","","","","17","M<sub>5</sub> receptor","Human","P08912","ENSG00000184984","","","","","","","","Human","pKi","6.1","12235229"
"2844","adenosine","Metabolite","","","","","","","","18","A<sub>1</sub> receptor","Human","P30542","ENSG00000163485","","","","","","","","Human","pKi","7.0","14662005"
"2844","adenosine","Metabolite","","","","","","","","18","A<sub>1</sub> receptor","Rat","P25099","ENSRNOG00000003442","","","","","","","","Rat","pKi","7.1","14662005"
"2844","adenosine","Metabolite","","","","","","","","19","A<sub>2A</sub> receptor","Human","P29274","ENSG00000128271","","","","","","","","Human","pKi","6.5","15822182|7746802|14662005"
"2844","adenosine","Metabolite","","","","","","","","20","A<sub>2B</sub> receptor","Human","P29275","ENSG00000170425","","","","","","","","Human","pKi","4.8","15822182|7746802|14662005"
"2844","adenosine","Metabolite","","","","","","","","20","A<sub>2B</sub> receptor","Rat","P29276","ENSRNOG00000002922","","","","","","","","Rat","pKi","5.3","14662005"
"2844","adenosine","Metabolite","","","","","","","","21","A<sub>3</sub> receptor","Human","P0DMS8","ENSG00000282608","","","","","","","","Human","pKi","6.5","15822182|7746802|14662005"
"2844","adenosine","Metabolite","","","","","","","","21","A<sub>3</sub> receptor","Rat","P28647","ENSRNOG00000015788","","","","","","","","Rat","pKi","5.2","14662005"
"479","(-)-adrenaline","Metabolite","","","","","","","","22","&alpha;<sub>1A</sub>-adrenoceptor","Human","P35348","ENSG00000120907","","","","","(-)-noradrenaline = (-)-adrenaline","","","Human","pKi","5.1 - 6.5","7651358|7815325|8564227|34355529"
"479","(-)-adrenaline","Metabolite","","","","","","","","22","&alpha;<sub>1A</sub>-adrenoceptor","Human","P35348","ENSG00000120907","","","","","(-)-noradrenaline = (-)-adrenaline","","","Human","pEC50","5.6 - 9.1","34355529"
"505","(-)-noradrenaline","Metabolite","","","","","","","","22","&alpha;<sub>1A</sub>-adrenoceptor","Human","P35348","ENSG00000120907","","","","","(-)-noradrenaline = (-)-adrenaline","","","Human","pKi","4.8 - 6.4","7651358|10433504|7815325|20978120|8564227|28444738|34355529"
"505","(-)-noradrenaline","Metabolite","","","","","","","","22","&alpha;<sub>1A</sub>-adrenoceptor","Human","P35348","ENSG00000120907","","","","","(-)-noradrenaline = (-)-adrenaline","","","Human","pEC50","5.5 - 8.6","20978120|28444738|34355529"
"479","(-)-adrenaline","Metabolite","","","","","","","","23","&alpha;<sub>1B</sub>-adrenoceptor","Human","P35368","ENSG00000170214","","","","","","","","Human","pKi","3.9 - 6.5","7651358|34355529"
"479","(-)-adrenaline","Metabolite","","","","","","","","23","&alpha;<sub>1B</sub>-adrenoceptor","Human","P35368","ENSG00000170214","","","","","","","","Human","pEC50","5.4 - 9.4","34355529"
"505","(-)-noradrenaline","Metabolite","","","","","","","","23","&alpha;<sub>1B</sub>-adrenoceptor","Human","P35368","ENSG00000170214","","","","","","","","Human","pKi","3.8 - 6.2","7651358|34355529"
"505","(-)-noradrenaline","Metabolite","","","","","","","","23","&alpha;<sub>1B</sub>-adrenoceptor","Human","P35368","ENSG00000170214","","","","","","","","Human","pEC50","5.9 - 9.2","34355529"
"479","(-)-adrenaline","Metabolite","","","","","","","","24","&alpha;<sub>1D</sub>-adrenoceptor","Human","P25100","ENSG00000171873","","","","","","","","Human","pKi","5.3 - 7.2","7651358|8564227|34355529"
"479","(-)-adrenaline","Metabolite","","","","","","","","24","&alpha;<sub>1D</sub>-adrenoceptor","Human","P25100","ENSG00000171873","","","","","","","","Human","pEC50","6.7 - 7.7","34355529"
"479","(-)-adrenaline","Metabolite","","","","","","","","24","&alpha;<sub>1D</sub>-adrenoceptor","Rat","P23944","ENSRNOG00000021256","","","","","","","","Rat","pKi","6.3","7969082"
"505","(-)-noradrenaline","Metabolite","","","","","","","","24","&alpha;<sub>1D</sub>-adrenoceptor","Human","P25100","ENSG00000171873","","","","","","","","Human","pKi","5.5 - 7.4","7651358|8564227|34355529"
"505","(-)-noradrenaline","Metabolite","","","","","","","","24","&alpha;<sub>1D</sub>-adrenoceptor","Human","P25100","ENSG00000171873","","","","","","","","Human","pEC50","6.6 - 7.8","34355529"
"505","(-)-noradrenaline","Metabolite","","","","","","","","24","&alpha;<sub>1D</sub>-adrenoceptor","Rat","P23944","ENSRNOG00000021256","","","","","","","","Rat","pKi","6.3","7969082"
"479","(-)-adrenaline","Metabolite","","","","","","","","25","&alpha;<sub>2A</sub>-adrenoceptor","Human","P08913","ENSG00000150594","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pKi","3.7 - 7.4","9824686|9605427|36101495"
"479","(-)-adrenaline","Metabolite","","","","","","","","25","&alpha;<sub>2A</sub>-adrenoceptor","Human","P08913","ENSG00000150594","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pIC50","6.5","36101495"
"479","(-)-adrenaline","Metabolite","","","","","","","","25","&alpha;<sub>2A</sub>-adrenoceptor","Human","P08913","ENSG00000150594","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","5.5","36101495"
"479","(-)-adrenaline","Metabolite","","","","","","","","25","&alpha;<sub>2A</sub>-adrenoceptor","Human","P08913","ENSG00000150594","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","8.0","36101495"
"479","(-)-adrenaline","Metabolite","","","","","","","","25","&alpha;<sub>2A</sub>-adrenoceptor","Human","P08913","ENSG00000150594","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","6.8","9605427"
"505","(-)-noradrenaline","Metabolite","","","","","","","","25","&alpha;<sub>2A</sub>-adrenoceptor","Human","P08913","ENSG00000150594","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pKi","3.6 - 7.4","9824686|9605427|36101495"
"505","(-)-noradrenaline","Metabolite","","","","","","","","25","&alpha;<sub>2A</sub>-adrenoceptor","Human","P08913","ENSG00000150594","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pIC50","6.6","36101495"
"505","(-)-noradrenaline","Metabolite","","","","","","","","25","&alpha;<sub>2A</sub>-adrenoceptor","Human","P08913","ENSG00000150594","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","5.3","36101495"
"505","(-)-noradrenaline","Metabolite","","","","","","","","25","&alpha;<sub>2A</sub>-adrenoceptor","Human","P08913","ENSG00000150594","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","7.7","36101495"
"505","(-)-noradrenaline","Metabolite","","","","","","","","25","&alpha;<sub>2A</sub>-adrenoceptor","Human","P08913","ENSG00000150594","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","6.7","9605427"
"479","(-)-adrenaline","Metabolite","","","","","","","","26","&alpha;<sub>2B</sub>-adrenoceptor","Human","P18089","ENSG00000274286","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pKi","3.6 - 5.2","9605427|36101495"
"479","(-)-adrenaline","Metabolite","","","","","","","","26","&alpha;<sub>2B</sub>-adrenoceptor","Human","P18089","ENSG00000274286","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pIC50","7.6","36101495"
"479","(-)-adrenaline","Metabolite","","","","","","","","26","&alpha;<sub>2B</sub>-adrenoceptor","Human","P18089","ENSG00000274286","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","6.3","36101495"
"479","(-)-adrenaline","Metabolite","","","","","","","","26","&alpha;<sub>2B</sub>-adrenoceptor","Human","P18089","ENSG00000274286","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","7.5","36101495"
"505","(-)-noradrenaline","Metabolite","","","","","","","","26","&alpha;<sub>2B</sub>-adrenoceptor","Human","P18089","ENSG00000274286","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pKi","3.5 - 6.0","9824686|9605427|36101495"
"505","(-)-noradrenaline","Metabolite","","","","","","","","26","&alpha;<sub>2B</sub>-adrenoceptor","Human","P18089","ENSG00000274286","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pIC50","7.8","36101495"
"505","(-)-noradrenaline","Metabolite","","","","","","","","26","&alpha;<sub>2B</sub>-adrenoceptor","Human","P18089","ENSG00000274286","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","6.9","36101495"
"505","(-)-noradrenaline","Metabolite","","","","","","","","26","&alpha;<sub>2B</sub>-adrenoceptor","Human","P18089","ENSG00000274286","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","7.8","36101495"
"479","(-)-adrenaline","Metabolite","","","","","","","","27","&alpha;<sub>2C</sub>-adrenoceptor","Human","P18825","ENSG00000184160","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pKi","4.9 - 5.8","9605427|36101495"
"479","(-)-adrenaline","Metabolite","","","","","","","","27","&alpha;<sub>2C</sub>-adrenoceptor","Human","P18825","ENSG00000184160","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pIC50","6.7","36101495"
"479","(-)-adrenaline","Metabolite","","","","","","","","27","&alpha;<sub>2C</sub>-adrenoceptor","Human","P18825","ENSG00000184160","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","7.6","36101495"
"505","(-)-noradrenaline","Metabolite","","","","","","","","27","&alpha;<sub>2C</sub>-adrenoceptor","Human","P18825","ENSG00000184160","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pKi","4.5 - 6.8","9824686|9605427|36101495|25080296"
"505","(-)-noradrenaline","Metabolite","","","","","","","","27","&alpha;<sub>2C</sub>-adrenoceptor","Human","P18825","ENSG00000184160","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pIC50","6.5 - 8.6","36101495|25080296"
"505","(-)-noradrenaline","Metabolite","","","","","","","","27","&alpha;<sub>2C</sub>-adrenoceptor","Human","P18825","ENSG00000184160","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","6.0 - 6.6","25080296"
"505","(-)-noradrenaline","Metabolite","","","","","","","","27","&alpha;<sub>2C</sub>-adrenoceptor","Human","P18825","ENSG00000184160","","","","","","","Adrenaline exhibits similar potency, affinity and efficacy to noradrenaline.","Human","pEC50","7.7","36101495"
"479","(-)-adrenaline","Metabolite","","","","","","","","28","&beta;<sub>1</sub>-adrenoceptor","Human","P08588","ENSG00000043591","","","","","(-)-noradrenaline > (-)-adrenaline","","Noradrenaline exhibits greater potency than adrenaline","Human","pKi","5.2 - 6.0","2849109|14730417|20590599"
"479","(-)-adrenaline","Metabolite","","","","","","","","28","&beta;<sub>1</sub>-adrenoceptor","Human","P08588","ENSG00000043591","","","","","(-)-noradrenaline > (-)-adrenaline","","Noradrenaline exhibits greater potency than adrenaline","Human","pEC50","7.6","20590599"
"484","noradrenaline","Metabolite","","","","","","","","28","&beta;<sub>1</sub>-adrenoceptor","Human","P08588","ENSG00000043591","","","","","(-)-noradrenaline > (-)-adrenaline","","Noradrenaline exhibits greater potency than adrenaline","Human","pKi","6.0","2849109"
"505","(-)-noradrenaline","Metabolite","","","","","","","","28","&beta;<sub>1</sub>-adrenoceptor","Human","P08588","ENSG00000043591","","","","","(-)-noradrenaline > (-)-adrenaline","","Noradrenaline exhibits greater potency than adrenaline","Human","pKi","5.5 - 6.0","2849109|14730417|20590599"
"505","(-)-noradrenaline","Metabolite","","","","","","","","28","&beta;<sub>1</sub>-adrenoceptor","Human","P08588","ENSG00000043591","","","","","(-)-noradrenaline > (-)-adrenaline","","Noradrenaline exhibits greater potency than adrenaline","Human","pEC50","7.9","20590599"
"479","(-)-adrenaline","Metabolite","","","","","","","","29","&beta;<sub>2</sub>-adrenoceptor","Human","P07550","ENSG00000169252","","","","","(-)-adrenaline > (-)-noradrenaline","","Adrenaline exhibits greater potency than noradrenaline","Human","pKi","6.0 - 6.2","2849109|9295336|14730417|20590599"
"479","(-)-adrenaline","Metabolite","","","","","","","","29","&beta;<sub>2</sub>-adrenoceptor","Human","P07550","ENSG00000169252","","","","","(-)-adrenaline > (-)-noradrenaline","","Adrenaline exhibits greater potency than noradrenaline","Human","pEC50","7.9","20590599"
"484","noradrenaline","Metabolite","","","","","","","","29","&beta;<sub>2</sub>-adrenoceptor","Human","P07550","ENSG00000169252","","","","","(-)-adrenaline > (-)-noradrenaline","","Adrenaline exhibits greater potency than noradrenaline","Human","pKi","5.4","15102946"
"505","(-)-noradrenaline","Metabolite","","","","","","","","29","&beta;<sub>2</sub>-adrenoceptor","Human","P07550","ENSG00000169252","","","","","(-)-adrenaline > (-)-noradrenaline","","Adrenaline exhibits greater potency than noradrenaline","Human","pKi","4.6 - 5.4","2849109|14730417|20590599"
"505","(-)-noradrenaline","Metabolite","","","","","","","","29","&beta;<sub>2</sub>-adrenoceptor","Human","P07550","ENSG00000169252","","","","","(-)-adrenaline > (-)-noradrenaline","","Adrenaline exhibits greater potency than noradrenaline","Human","pEC50","6.4","20590599"
"566","Zn<sup>2+</sup>","Inorganic","","","","","","","","29","&beta;<sub>2</sub>-adrenoceptor","Human","P07550","ENSG00000169252","","","","","(-)-adrenaline > (-)-noradrenaline","","Adrenaline exhibits greater potency than noradrenaline","Human","pKi","5.3","12409304|11752207"
"566","Zn<sup>2+</sup>","Inorganic","","","","","","","","29","&beta;<sub>2</sub>-adrenoceptor","Human","P07550","ENSG00000169252","","","","","(-)-adrenaline > (-)-noradrenaline","","Adrenaline exhibits greater potency than noradrenaline","Human","pKi","3.3","12409304|11752207"
"479","(-)-adrenaline","Metabolite","","","","","","","","30","&beta;<sub>3</sub>-adrenoceptor","Human","P13945","ENSG00000188778","","","","","(-)-noradrenaline = (-)-adrenaline","","","Human","pKi","3.9 - 4.7","14730417|20590599"
"479","(-)-adrenaline","Metabolite","","","","","","","","30","&beta;<sub>3</sub>-adrenoceptor","Human","P13945","ENSG00000188778","","","","","(-)-noradrenaline = (-)-adrenaline","","","Human","pEC50","6.5","20590599"
"505","(-)-noradrenaline","Metabolite","","","","","","","","30","&beta;<sub>3</sub>-adrenoceptor","Human","P13945","ENSG00000188778","","","","","(-)-noradrenaline = (-)-adrenaline","","","Human","pKi","4.7 - 6.3","9131260|14730417|14744619"
"505","(-)-noradrenaline","Metabolite","","","","","","","","30","&beta;<sub>3</sub>-adrenoceptor","Human","P13945","ENSG00000188778","","","","","(-)-noradrenaline = (-)-adrenaline","","","Human","pEC50","7.2","20590599"
"505","(-)-noradrenaline","Metabolite","","","","","","","","30","&beta;<sub>3</sub>-adrenoceptor","Mouse","P25962","ENSMUSG00000031489","","","","","(-)-noradrenaline = (-)-adrenaline","","","Mouse","pKi","3.8","14744619"
"505","(-)-noradrenaline","Metabolite","","","","","","","","30","&beta;<sub>3</sub>-adrenoceptor","Rat","P26255","ENSRNOG00000012674","","","","","(-)-noradrenaline = (-)-adrenaline","","","Rat","pKi","4.2","14744619"
"509","(&plusmn;)-adrenaline","Metabolite","","","","","","","","30","&beta;<sub>3</sub>-adrenoceptor","Human","P13945","ENSG00000188778","","","","","(-)-noradrenaline = (-)-adrenaline","","","Human","pKi","3.9 - 4.7","8719421|7903415|14730417"
"509","(&plusmn;)-adrenaline","Metabolite","","","","","","","","30","&beta;<sub>3</sub>-adrenoceptor","Mouse","P25962","ENSMUSG00000031489","","","","","(-)-noradrenaline = (-)-adrenaline","","","Mouse","pKi","5.3","8719421"
"509","(&plusmn;)-adrenaline","Metabolite","","","","","","","","30","&beta;<sub>3</sub>-adrenoceptor","Rat","P26255","ENSRNOG00000012674","","","","","(-)-noradrenaline = (-)-adrenaline","","","Rat","pKi","5.3","8719421"
"573","C5a","Peptide","Human","P01031","ENSG00000106804","","","","","31","C3a receptor","Human","Q16581","ENSG00000171860","","","","","C3a > C5a","8898085|","C3a anaphylatoxin has a higher potency than C5a anaphylatoxin",,,"-",""
"3576","C5a","Peptide","Mouse","","ENSMUSG00000026874","","","","","31","C3a receptor","Mouse","O09047","ENSMUSG00000040552","","","","","C3a > C5a","8898085|","C3a anaphylatoxin has a higher potency than C5a anaphylatoxin",,,"-",""
"3577","C5a","Peptide","Rat","P08650","ENSRNOG00000018899","","","","","31","C3a receptor","Rat","O55197","ENSRNOG00000009211","","","","","C3a > C5a","8898085|","C3a anaphylatoxin has a higher potency than C5a anaphylatoxin",,,"-",""
"3640","C3a","Peptide","Human","P01024","ENSG00000125730","","","","","31","C3a receptor","Human","Q16581","ENSG00000171860","","","","","C3a > C5a","8898085|","C3a anaphylatoxin has a higher potency than C5a anaphylatoxin","Human","pEC50","7.3","20527893"
"3640","C3a","Peptide","Human","P01024","ENSG00000125730","","","","","31","C3a receptor","Human","Q16581","ENSG00000171860","","","","","C3a > C5a","8898085|","C3a anaphylatoxin has a higher potency than C5a anaphylatoxin","Human","pEC50","9.6","9476119"
"3641","C3a","Peptide","Mouse","P01027","ENSMUSG00000024164","","","","","31","C3a receptor","Mouse","O09047","ENSMUSG00000040552","","","","","C3a > C5a","8898085|","C3a anaphylatoxin has a higher potency than C5a anaphylatoxin",,,"-",""
"3642","C3a","Peptide","Rat","","ENSRNOG00000046834","","","","","31","C3a receptor","Rat","O55197","ENSRNOG00000009211","","","","","C3a > C5a","8898085|","C3a anaphylatoxin has a higher potency than C5a anaphylatoxin",,,"-",""
"573","C5a","Peptide","Human","P01031","ENSG00000106804","","","","","32","C5a<sub>1</sub> receptor","Human","P21730","ENSG00000197405","","","","","C5a, C5a des-Arg > C3a","8898085|","C5a anaphylatoxin has a higher potency than C3a anaphylatoxin","Human","pIC50","9.1 - 9.2","15661745|10602324"
