"## GtoPdb Version: 2024.2 - published: 2024-06-26"
"Ligand ID","Ligand Name","HBond Acceptors","HBond Donors","Rotatable Bonds","TPSA","Mol Weight","XLogP","LipinskiRO5"
"13219","tambiciclib","7","3","10","108.93","519.1043754721792","1.7850000000000006","1"
"13218","segigratinib","9","3","7","99.57999999999998","555.4565195016901","3.8809999999999993","1"
"13217","rogocekib","10","0","5","99.1","408.3898135854372","2.015","0"
"13216","potrasertib","9","1","4","79.14","565.497733465063","3.0980000000000003","1"
"13215","nuvisertib","5","2","5","60.22","418.45613599069395","3.5390000000000006","0"
"13214","neladalkib","7","1","1","78.81","452.91258717826065","2.4060000000000006","0"
"13213","nefextinib","7","2","5","98.91","438.5229394501523","1.2790000000000001","0"
"13212","lunbotinib","11","2","7","107.94","537.5950847145818","1.131","2"
"13211","lunresertib","6","3","2","104.94","324.37768390198255","1.0539999999999998","0"
"13210","lomedeucitinib","10","3","8","149.82999999999998","416.4559851642311","1.7319999999999998","0"
"13209","inlexisertib","9","2","10","84.8","535.605942418607","1.1389999999999998","1"
"13208","girocitinib","7","1","3","90.44","326.3504714251123","0.2599999999999997","0"
"13207","fovinaciclib","9","1","7","104.43999999999998","548.7480867367786","1.9249999999999987","1"
"13206","frevecitinib","9","0","4","95.60999999999999","415.44867786406815","-0.002000000000000113","0"
"13205","envudeucitinib","9","2","9","107.75","420.465201846079","1.0169999999999997","0"
"13204","dapolsertib","3","1","3","70.77","446.136650645667","3.7270000000000003","0"
"13203","brimarafenib","8","3","6","101.05000000000001","482.4122965363718","0.20000000000000012","0"
"13202","asengeprast","6","2","8","84.86","351.35343859568127","1.7490000000000003","0"
"13201","asandeutertinib","9","2","11","84.8","499.6083822907058","1.8949999999999998","0"
"13198","TP-6076","10","6","6","173.42","579.5658630065828","1.9180000000000006","2"
"13197","OPS-2071","7","2","3","119.78000000000002","378.3572600739989","0.9520000000000002","0"
"13196","[<sup>3</sup>H]L748337","8","4","14","125.14","497.60851593708026","-0.05399999999999988","1"
"13195","compound 6 [PMID: 29769246]","8","2","14","152.48","611.818423849104","3.496999999999999","2"
"13194","BRL35135","5","2","10","67.79","377.8625565230764","1.2740000000000002","0"
"13193","bucindolol","5","3","8","77.31","363.4536280512274","1.9510000000000005","0"
"13192","landiolol","11","3","16","127.82000000000001","509.59343586056866","-0.5759999999999998","3"
"13191","7-methylcyanopindolol","5","3","6","77.31","301.38406705963587","1.6110000000000007","0"
"13190","soquelitinib","8","1","10","141.91","514.6632225589711","1.051","1"
"13189","AM1476","5","3","2","85.7","236.24594564011662","0.9650000000000001","0"
"13188","PBF-999","7","2","3","90.73","294.1105995218002","-0.473","0"
"13186","cinnamtannin B1","18","14","4","320.14000000000004","864.7582711894364","1.0690000000000002","3"
"13184","nibrozetone","2","0","4","106.58999999999997","268.0219862366997","0.25399999999999956","0"
"13182","[<sup>11</sup>C]-ORM-13070","6","0","5","46.53","355.4315611852208","0.5640000000000001","0"
"13181","A-1262543","4","2","4","48.78","306.2862907396992","1.15","0"
"13180","C10 (homobivalent 4-aminoquinoline)","4","2","13","48.78","426.5974035682846","4.782","1"
"13179","[<sup>125</sup>I]p-iodoclonidine","3","2","2","36.42","356.99854763300004","2.734","0"
"13178","makomakinol","4","2","2","61.690000000000005","322.40163078913804","1.7750000000000001","0"
"13177","hobartine","2","2","2","24.06","294.4345839493024","3.191","0"
"13176","Aristoteline","2","2","0","24.06","294.43458394930246","3.0070000000000006","0"
"13175","PROTAC T3","14","3","19","199.26","729.8011629567037","-0.8279999999999996","3"
"13174","foslevodopa","8","5","5","160.11999999999998","277.1682114470233","-4.487","0"
"13173","MK-7845","10","3","15","133.91","516.5794590018521","2.3240000000000003","2"
"13172","compound 16z [PMID: 35609303]","5","0","4","39.15","469.3497711568547","3.2319999999999998","0"
"13171","C3TD879","5","3","6","79.51","364.48474859217146","2.806","0"
"13170","X14","5","1","6","62.13","426.8687026976038","1.601","0"
"13169","CMX990","9","3","13","125.04","491.5020426982855","1.099","1"
"13168","BAY-9835","8","3","7","102.9","493.3869887084367","1.824","0"
"13167","ORIC-101","3","1","3","40.54","501.74374898277864","6.980000000000002","2"
"13166","ANAVEX 3-71","4","1","4","60.88","357.51471783077153","1.9740000000000002","0"
"13165","CVN766","9","2","8","106.17","446.42971400995896","2.1610000000000005","0"
"13164","LY3509754","9","2","10","132.57999999999998","586.5153233427739","3.4110000000000005","1"
"13163","LTGO-33","6","2","7","99.99000000000001","467.4384689244405","2.1120000000000005","0"
"13162","[<sup>3</sup>H]clonidine","3","2","2","36.42","230.0940746330001","1.7109999999999999","0"
"13161","ancremonam","14","4","10","264.27","518.481146421458","-2.4210000000000003","2"
"13160","TXA709","7","1","8","108.66","514.4701927559161","1.838","1"
"13159","SEQ-9","22","4","23","301.68","1243.545842966867","4.327","3"
"13158","midecamycin","16","3","14","206.05","813.9699793952118","2.127","3"
"13157","NOSO-502","28","17","44","502.05999999999983","1078.245659397974","-9.203000000000003","4"
"13156","(S)-41","5","2","6","75.81","382.4265738485179","0.9940000000000002","0"
"13155","RX18","11","2","14","139.83","668.8074513104999","1.4889999999999999","3"
"13154","dibenamine","1","0","6","3.24","259.7743487026921","3.0120000000000005","0"
"13151","compound 12 [PMID: 26238322]","3","1","5","18.509999999999998","391.5251328755815","2.672","0"
"13150","narceine","9","1","10","103.76000000000002","445.46326860701146","1.145","0"
"13149","mitragynine","6","1","6","60.03","398.4961743652472","2.6770000000000005","0"
"13148","ibogaine","3","1","2","24.5","310.43398887687187","2.831","0"
"13147","papaverine","5","0","6","49.28","339.38579668341515","1.4080000000000001","0"
"13146","thebaine","4","0","2","30.930000000000003","311.37565585905776","0.996","0"
"13145","rucaparib metabolite M324","5","3","2","78.43","324.30650035869934","0.6500000000000001","0"
"13144","SOS1 PROTAC 23","14","5","21","217.62999999999997","905.0419425874079","2.671000000000001","3"
"13143","QC-182","12","1","7","147.52999999999997","816.8527527810589","2.4400000000000004","2"
"13142","PROTAC 23 [PMID: 38321747]","18","3","13","199.44","885.9893400005034","1.4999999999999998","3"
"13141","tetrahydroharmine","3","2","1","33.29","216.27943006109797","1.3010000000000002","0"
"13140","harmaline","3","1","1","33.620000000000005","214.26354855344638","1.351","0"
"13139","mescaline","4","1","5","53.71","211.25800566945063","0.5029999999999999","0"
"13137","cyclic di-GMP","24","8","2","356.2200000000001","690.4115203439101","-6.6819999999999995","3"
"13136","C-176","3","1","4","81.47","358.08917926579807","1.899","0"
"13135","beta ph61","2","0","1","26.3","314.1194619086785","3.288","0"
"13134","BODIPY FL-prazosin","10","1","7","92.75","563.4076809928494","3.2299999999999995","1"
"13133","TBA-7371","8","2","7","98.88","355.39173279041364","-0.6050000000000001","0"
"13132","TBAJ-876","11","1","13","115.93000000000002","657.5527959839617","0.9429999999999998","3"
"13131","xeruborbactam","4","2","1","66.76","221.9779360171639","0.4260000000000001","0"
"13130","ORM-10921","3","0","2","21.700000000000003","285.38139654235187","2.1710000000000003","0"
"13129","ORM-12741","3","0","2","21.700000000000003","285.38139654235187","1.9210000000000003","0"
"13128","RS79948","5","0","3","58.230000000000004","364.50402933591215","1.3940000000000001","0"
"13127","benzosceptrin C","12","8","8","183.07999999999998","774.0590771070988","2.7840000000000003","3"
"13126","JN122","7","3","9","90.9","610.5716969733114","4.388","1"
"13125","KU0058948","6","2","4","73.8","380.41623556617213","0.8260000000000001","0"
"13124","RBN012759","5","2","6","96.22","378.46272878678315","1.931","0"
"13123","ITK7","5","1","3","91.48","322.38598354770846","0.7420000000000003","0"
"13122","A101-(CONH2)-B322","10","5","8","159.49","409.3961329314769","-0.4779999999999998","0"
"13121","compound 8a [PMID: 35500474]","5","2","3","67.43","274.31559321746437","3.1729999999999996","0"
"13120","compound 32 [PMID: 30006177]","3","1","4","52.32000000000001","245.2495078831162","0.647","0"
"13119","OUL35","5","2","4","95.41000000000001","256.2572127977216","-0.649","0"
"13118","atamparib","10","2","11","110.99","523.4329118257133","1.2710000000000001","1"
"13117","(S)-XY-05","9","1","6","106.96000000000002","447.41447497666655","0.12499999999999976","0"
"13116","LWY713","18","4","14","212.82999999999996","838.9527157593909","-0.25200000000000017","3"
"13115","MZ-101","7","2","9","86.16","449.5214676371408","2.9149999999999996","0"
"13114","funobactam","11","3","4","179.89000000000001","399.38399648098886","-1.8970000000000002","1"
"13113","inhibitor M9 [PMID: 38236416]","6","5","14","119.56","484.63193190472896","3.9829999999999997","0"
"13112","AR-9281","5","2","5","61.440000000000005","319.44244747937853","2.413","0"
"13111","UZH2","8","2","5","75.57","513.6268109216514","2.56","1"
"13110","WD6305","16","5","19","211.97000000000003","1112.3840975892824","4.855","3"
"13109","compound 18 [PMID: 38090813]","7","2","10","101.73","455.40355187427497","1.3139999999999996","0"
"13108","lisaftoclax","12","3","14","185.35","882.4254559801263","5.175","4"
"13107","GNE684","9","1","5","98.96","432.47593774286696","0.9509999999999996","0"
"13106","tebapivat","9","2","4","136.33999999999997","392.439413780292","0.31500000000000095","0"
"13105","balofloxacin","7","2","5","82.11","389.4214285789644","2.802","0"
"13104","GNE-235","5","1","2","63.209999999999994","244.29283647517","2.9740000000000006","0"
"13103","OX04529","1","1","5","46.3","331.717928551914","2.697","0"
"13102","compound 25e [PMID: 38217503]","6","2","14","85.02000000000001","670.8804432743104","7.024000000000003","3"
"13101","BAY1830839","7","3","8","97.52000000000001","450.45494584583287","2.03","0"
"13100","zeaxanthin","2","2","10","40.46","568.8729279409025","10.564000000000002","2"
"13099","lutein","2","2","10","40.46","568.8729279409025","11.283000000000005","2"
"13098","withanone","6","2","2","96.36","470.59878332086026","2.1529999999999996","0"
"13097","withaferin A","6","2","3","96.36000000000001","470.5987833208602","3.986999999999999","0"
"13096","bacopaside II","18","10","10","276.13999999999993","929.0973731360438","2.9419999999999966","3"
"13095","bacopaside I","20","9","11","307.65999999999997","979.1356505797809","1.8879999999999975","4"
"13094","bacoside A3","18","10","10","276.13999999999993","929.0973731360438","3.1639999999999975","3"
"13093","salvianolic acid A","10","7","9","184.98","494.4478791763491","2.63","1"
"13092","rosmarinic acid (racemate)","8","5","7","144.52","360.3155376239517","1.31","0"
"13091","catechin","6","5","1","110.38000000000001","290.26863857079735","0.5839999999999999","0"
"13090","AJ2-30","4","1","4","30.869999999999997","354.44843503843526","3.389000000000001","0"
"13089","aplithianine A","7","1","2","93.25","299.3558039002693","0.6879999999999997","0"
"13088","oridonin","6","4","0","107.22000000000001","364.4334886082984","0.24799999999999942","0"
"13083","calyculin A","19","8","27","292.35999999999996","1009.1716442709727","1.186","4"
"13082","ledaborbactam","6","3","4","95.86","263.0547572483","0.4899999999999999","0"
"13081","cantharidin","4","0","0","52.60000000000001","196.2002677240671","-0.11699999999999984","0"
"13080","clovibactin","21","11","26","345.35999999999996","903.0779826033117","2.543999999999998","4"
"13079","epetraborole","5","3","5","84.94","237.06049793159423","-0.8260000000000001","0"
"13078","GSK2556286","6","2","4","70.67","329.3942078839934","1.0589999999999997","0"
"13077","compound 20 [PMID: 37666112]","9","2","9","130.44","377.3460630924651","-0.31","0"
"13076","baicalin","11","6","4","183.20999999999998","446.3618416046754","0.7829999999999997","2"
"13075","scutellarin","12","7","4","203.43999999999997","462.3612465322448","0.0690000000000005","2"
"13074","myricetin","8","6","1","147.68","318.235685410633","1.914","1"
"13073","trilobatin","10","7","7","177.14","436.41008120006074","0.49700000000000016","1"
"13072","BB2-50F","9","3","4","144.68","393.44308757814383","1.5169999999999997","0"
"13071","AMG487","9","0","12","96.16000000000001","603.5922352097954","1.9730000000000003","2"
"13070","APG-1252-M1","14","3","20","227.17999999999998","1159.7945919953797","8.036999999999997","4"
"13069","pelcitoclax","17","4","25","283.52","1281.8543613752324","7.188999999999998","4"
"13068","KB-0742","5","2","5","66.01","287.4038092294326","2.476000000000001","0"
"13067","Sanofi-14h","8","3","4","129.67999999999998","435.28878853806606","1.0340000000000003","0"
"13066","biKEAP1","26","8","34","410.0799999999999","1321.4385892583036","0.13599999999999948","4"
"13065","RLY-2608","8","2","6","109.94999999999999","608.9064943359517","1.4460000000000006","1"
