"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Ligand","Ligand ID","Target","Target ID","Target Ligand","Target Ligand ID","Target Species","Type"
"haloperidol","86","D<sub>3</sub> receptor","216",,"0","Human","Synthetic organic"
"haloperidol","86","D<sub>4</sub> receptor","217",,"0","Human","Synthetic organic"
"pimozide","90","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"pimozide","90","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"pindolol","91","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"pindolol","91","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"risperidone","96","5-HT<sub>1B</sub> receptor","2",,"0","Human","Synthetic organic"
"risperidone","96","5-HT<sub>1D</sub> receptor","3",,"0","Human","Synthetic organic"
"risperidone","96","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"risperidone","96","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"sertindole","98","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"sertindole","98","5-HT<sub>2C</sub> receptor","8",,"0","Human","Synthetic organic"
"sertindole","98","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"sertindole","98","D<sub>3</sub> receptor","216",,"0","Human","Synthetic organic"
"sertindole","98","D<sub>4</sub> receptor","217",,"0","Human","Synthetic organic"
"thioridazine","100","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"thioridazine","100","5-HT<sub>2C</sub> receptor","8",,"0","Human","Synthetic organic"
"yohimbine","102","&alpha;<sub>2A</sub>-adrenoceptor","25",,"0","Human","Natural product"
"yohimbine","102","&alpha;<sub>2B</sub>-adrenoceptor","26",,"0","Human","Natural product"
"yohimbine","102","&alpha;<sub>2C</sub>-adrenoceptor","27",,"0","Human","Natural product"
"dihydroergotamine","121","5-HT<sub>1D</sub> receptor","3",,"0","Human","Synthetic organic"
"oxymetazoline","124","&alpha;<sub>1A</sub>-adrenoceptor","22",,"0","Human","Synthetic organic"
"oxymetazoline","124","&alpha;<sub>2A</sub>-adrenoceptor","25",,"0","Human","Synthetic organic"
"methysergide","134","5-HT<sub>2B</sub> receptor","7",,"0","Human","Synthetic organic"
"methysergide","134","5-HT<sub>2C</sub> receptor","8",,"0","Human","Synthetic organic"
"mianserin","135","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"mianserin","135","5-HT<sub>2B</sub> receptor","7",,"0","Human","Synthetic organic"
"mianserin","135","5-HT<sub>2C</sub> receptor","8",,"0","Human","Synthetic organic"
"ergotamine","149","5-HT<sub>1D</sub> receptor","3",,"0","Human","Synthetic organic"
"agomelatine","198","MT<sub>1</sub> receptor","287",,"0","Human","Synthetic organic"
"agomelatine","198","MT<sub>2</sub> receptor","288",,"0","Human","Synthetic organic"
"amitriptyline","200","M<sub>1</sub> receptor","13",,"0","Human","Synthetic organic"
"amitriptyline","200","M<sub>2</sub> receptor","14",,"0","Human","Synthetic organic"
"amitriptyline","200","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"amitriptyline","200","M<sub>4</sub> receptor","16",,"0","Human","Synthetic organic"
"amitriptyline","200","M<sub>5</sub> receptor","17",,"0","Human","Synthetic organic"
"amitriptyline","200","H<sub>1</sub> receptor","262",,"0","Human","Synthetic organic"
"amitriptyline","200","NET","926",,"0","Human","Synthetic organic"
"amitriptyline","200","SERT","928",,"0","Human","Synthetic organic"
"amoxapine","201","NET","926",,"0","Human","Synthetic organic"
"amoxapine","201","SERT","928",,"0","Human","Synthetic organic"
"duloxetine","202","NET","926",,"0","Human","Synthetic organic"
"duloxetine","202","SERT","928",,"0","Human","Synthetic organic"
"fluoxetine","203","SERT","928",,"0","Human","Synthetic organic"
"fluphenazine","204","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"loxapine","205","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"loxapine","205","5-HT<sub>2C</sub> receptor","8",,"0","Human","Synthetic organic"
"loxapine","205","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"loxapine","205","D<sub>3</sub> receptor","216",,"0","Human","Synthetic organic"
"loxapine","205","D<sub>4</sub> receptor","217",,"0","Human","Synthetic organic"
"molindone","207","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"perphenazine","209","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"thiothixene","212","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"trazodone","213","5-HT<sub>2A</sub> receptor","6",,"0","Human","Synthetic organic"
"trazodone","213","5-HT<sub>2C</sub> receptor","8",,"0","Human","Synthetic organic"
"trifluoperazine","214","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"melatonin","224","MT<sub>1</sub> receptor","287",,"0","Human","Metabolite"
"melatonin","224","MT<sub>2</sub> receptor","288",,"0","Human","Metabolite"
"cisapride","240","5-HT<sub>4</sub> receptor","9",,"0","Human","Synthetic organic"
"metoclopramide","241","5-HT<sub>4</sub> receptor","9",,"0","Mouse","Synthetic organic"
"metoclopramide","241","D<sub>2</sub> receptor","215",,"0","Mouse","Synthetic organic"
"metoclopramide","241","5-HT<sub>3</sub>AB","378",,"0","Human","Synthetic organic"
"metoclopramide","241","5-HT<sub>3</sub>A","379",,"0","Human","Synthetic organic"
"tropisetron","260","5-HT<sub>3</sub>A","379",,"0","Human","Synthetic organic"
"cyproheptadine","277","H<sub>1</sub> receptor","262",,"0","Human","Synthetic organic"
"bethanechol","297","M<sub>2</sub> receptor","14",,"0","Human","Synthetic organic"
"bethanechol","297","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"carbachol","298","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"pilocarpine","305","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"N-methyl scopolamine","316","M<sub>1</sub> receptor","13",,"0","Human","Synthetic organic"
"N-methyl scopolamine","316","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"atropine","320","M<sub>1</sub> receptor","13",,"0","Human","Natural product"
"atropine","320","M<sub>2</sub> receptor","14",,"0","Human","Natural product"
"atropine","320","M<sub>3</sub> receptor","15",,"0","Human","Natural product"
"atropine","320","M<sub>4</sub> receptor","16",,"0","Human","Natural product"
"atropine","320","M<sub>5</sub> receptor","17",,"0","Human","Natural product"
"darifenacin","321","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"ipratropium","325","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"pirenzepine","328","M<sub>1</sub> receptor","13",,"0","Human","Synthetic organic"
"propantheline","329","M<sub>1</sub> receptor","13",,"0","Human","Synthetic organic"
"propantheline","329","M<sub>2</sub> receptor","14",,"0","Human","Synthetic organic"
"propantheline","329","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"scopolamine","330","M<sub>1</sub> receptor","13",,"0","Human","Natural product"
"dexetimide","354","M<sub>2</sub> receptor","14",,"0","Human","Synthetic organic"
"dicyclomine","355","M<sub>1</sub> receptor","13",,"0","Human","Synthetic organic"
"dicyclomine","355","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"imipramine","357","NET","926",,"0","Human","Synthetic organic"
"imipramine","357","SERT","928",,"0","Human","Synthetic organic"
"oxybutynin","359","M<sub>1</sub> receptor","13",,"0","Human","Synthetic organic"
"oxybutynin","359","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"clidinium","366","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"tiotropium","367","M<sub>3</sub> receptor","15",,"0","Human","Synthetic organic"
"caffeine","407","A<sub>1</sub> receptor","18",,"0","Human","Natural product"
"caffeine","407","A<sub>2A</sub> receptor","19",,"0","Human","Natural product"
"caffeine","407","A<sub>2B</sub> receptor","20",,"0","Human","Natural product"
"caffeine","407","A<sub>3</sub> receptor","21",,"0","Human","Natural product"
"theophylline","413","A<sub>2A</sub> receptor","19",,"0","Human","Natural product"
"theophylline","413","A<sub>2B</sub> receptor","20",,"0","Human","Natural product"
"(-)-adrenaline","479","&alpha;<sub>1D</sub>-adrenoceptor","24",,"0","Human","Metabolite"
"(-)-adrenaline","479","&alpha;<sub>2A</sub>-adrenoceptor","25",,"0","Human","Metabolite"
"methoxamine","483","&alpha;<sub>1A</sub>-adrenoceptor","22",,"0","Human","Synthetic organic"
"phenylephrine","485","&alpha;<sub>1A</sub>-adrenoceptor","22",,"0","Human","Synthetic organic"
"phenylephrine","485","&alpha;<sub>1B</sub>-adrenoceptor","23",,"0","Human","Synthetic organic"
"tamsulosin","488","&alpha;<sub>1A</sub>-adrenoceptor","22",,"0","Human","Synthetic organic"
"tamsulosin","488","&alpha;<sub>1B</sub>-adrenoceptor","23",,"0","Human","Synthetic organic"
"tamsulosin","488","&alpha;<sub>1D</sub>-adrenoceptor","24",,"0","Human","Synthetic organic"
"silodosin","493","&alpha;<sub>1A</sub>-adrenoceptor","22",,"0","Human","Synthetic organic"
"phentolamine","502","&alpha;<sub>1A</sub>-adrenoceptor","22",,"0","Human","Synthetic organic"
"phentolamine","502","&alpha;<sub>1B</sub>-adrenoceptor","23",,"0","Human","Synthetic organic"
"phentolamine","502","&alpha;<sub>1D</sub>-adrenoceptor","24",,"0","Human","Synthetic organic"
"prazosin","503","&alpha;<sub>1A</sub>-adrenoceptor","22",,"0","Human","Synthetic organic"
"prazosin","503","&alpha;<sub>1B</sub>-adrenoceptor","23",,"0","Human","Synthetic organic"
"prazosin","503","&alpha;<sub>1D</sub>-adrenoceptor","24",,"0","Human","Synthetic organic"
"(-)-noradrenaline","505","&alpha;<sub>2B</sub>-adrenoceptor","26",,"0","Human","Metabolite"
"(-)-noradrenaline","505","&alpha;<sub>2C</sub>-adrenoceptor","27",,"0","Human","Metabolite"
"clonidine","516","&alpha;<sub>2A</sub>-adrenoceptor","25",,"0","Human","Synthetic organic"
"clonidine","516","&alpha;<sub>2B</sub>-adrenoceptor","26",,"0","Human","Synthetic organic"
"brimonidine (UK14304)","520","&alpha;<sub>2A</sub>-adrenoceptor","25",,"0","Human","Synthetic organic"
"brimonidine (UK14304)","520","&alpha;<sub>2B</sub>-adrenoceptor","26",,"0","Human","Synthetic organic"
"brimonidine (UK14304)","520","&alpha;<sub>2C</sub>-adrenoceptor","27",,"0","Human","Synthetic organic"
"dexmedetomidine","521","&alpha;<sub>2A</sub>-adrenoceptor","25",,"0","Human","Synthetic organic"
"dexmedetomidine","521","&alpha;<sub>2B</sub>-adrenoceptor","26",,"0","Human","Synthetic organic"
"dexmedetomidine","521","&alpha;<sub>2C</sub>-adrenoceptor","27",,"0","Human","Synthetic organic"
"guanfacine","522","&alpha;<sub>2A</sub>-adrenoceptor","25",,"0","Human","Synthetic organic"
"guanfacine","522","&alpha;<sub>2B</sub>-adrenoceptor","26",,"0","Human","Synthetic organic"
"guanfacine","522","&alpha;<sub>2C</sub>-adrenoceptor","27",,"0","Human","Synthetic organic"
"dobutamine","535","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"isoprenaline","536","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"isoprenaline","536","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"atenolol","548","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"betaxolol","549","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"bupranolol","550","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"bupranolol","550","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"bupranolol","550","&beta;<sub>3</sub>-adrenoceptor","30",,"0","Human","Synthetic organic"
"carvedilol","551","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"carvedilol","551","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"metoprolol","553","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"nadolol","554","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"nadolol","554","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"practolol","555","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"ephedrine","556","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"fenoterol","557","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"salbutamol","558","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"salmeterol","559","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"terbutaline","560","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"alprenolol","563","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"propranolol","564","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"propranolol","564","&beta;<sub>3</sub>-adrenoceptor","30",,"0","Human","Synthetic organic"
"timolol","565","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"bunolol","570","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"bunolol","570","&beta;<sub>2</sub>-adrenoceptor","29",,"0","Human","Synthetic organic"
"bunolol","570","&beta;<sub>3</sub>-adrenoceptor","30",,"0","Human","Synthetic organic"
"candesartan","587","AT<sub>1</sub> receptor","34",,"0","Human","Synthetic organic"
"eprosartan","588","AT<sub>1</sub> receptor","34",,"0","Human","Synthetic organic"
"irbesartan","589","AT<sub>1</sub> receptor","34",,"0","Human","Synthetic organic"
"losartan","590","AT<sub>1</sub> receptor","34",,"0","Human","Synthetic organic"
"olmesartan","591","AT<sub>1</sub> receptor","34",,"0","Human","Synthetic organic"
"telmisartan","592","AT<sub>1</sub> receptor","34",,"0","Human","Synthetic organic"
"chenodeoxycholic acid","608","Farnesoid X receptor","603",,"0","Human","Metabolite"
"icatibant","667","B<sub>2</sub> receptor","42",,"0","Human","Peptide"
"calcitonin","685","CT receptor","43",,"0","Human","Peptide"
"maraviroc","806","CCR5","62",,"0","Human","Synthetic organic"
"plerixafor","844","CXCR4","71",,"0","Human","Synthetic organic"
"fenoldopam","939","D<sub>1</sub> receptor","214",,"0","Human","Synthetic organic"
"dopamine","940","D<sub>1</sub> receptor","214",,"0","Human","Metabolite"
"dopamine","940","D<sub>2</sub> receptor","215",,"0","Human","Metabolite"
"dopamine","940","D<sub>3</sub> receptor","216",,"0","Human","Metabolite"
"dopamine","940","D<sub>4</sub> receptor","217",,"0","Human","Metabolite"
"dopamine","940","D<sub>5</sub> receptor","218",,"0","Human","Metabolite"
"rotigotine","941","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"flupentixol","948","D<sub>1</sub> receptor","214",,"0","Human","Synthetic organic"
"flupentixol","948","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"pramipexole","953","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"pramipexole","953","D<sub>3</sub> receptor","216",,"0","Human","Synthetic organic"
"(-)-sulpiride","958","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"(-)-sulpiride","958","D<sub>3</sub> receptor","216",,"0","Human","Synthetic organic"
"amisulpride","963","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"domperidone","965","D<sub>2</sub> receptor","215",,"0","Human","Synthetic organic"
"domperidone","965","D<sub>3</sub> receptor","216",,"0","Human","Synthetic organic"
"17&beta;-estradiol","1013","Estrogen receptor-&alpha;","620",,"0","Human","Metabolite"
"fulvestrant","1015","Estrogen receptor-&alpha;","620",,"0","Human","Synthetic organic"
"fulvestrant","1015","Estrogen receptor-&beta;","621",,"0","Human","Synthetic organic"
"tamoxifen","1016","Estrogen receptor-&alpha;","620",,"0","Human","Synthetic organic"
"tamoxifen","1016","Estrogen receptor-&alpha;","620",,"0","Human","Synthetic organic"
"cyclosporin A","1024","peptidylprolyl isomerase A","2751",,"0","Human","Peptide"
"rosiglitazone","1056","Peroxisome proliferator-activated receptor-&gamma;","595",,"0","Human","Synthetic organic"
"baclofen","1084","GABA<sub>B</sub> receptor","242",,"0","Human","Synthetic organic"
"liraglutide","1133","GLP-1 receptor","249",,"0","Human","Peptide"
"exendin-4","1135","GLP-1 receptor","249",,"0","Human","Peptide"
"glucagon","1136","glucagon receptor","251",,"0","Human","Peptide"
"FSH","1157","FSH receptor","253",,"0","Human","Peptide"
"LH","1159","LH receptor","254",,"0","Human","Peptide"
"leuprolide","1175","GnRH<sub>1</sub> receptor","256",,"0","Human","Peptide"
"abarelix","1188","GnRH<sub>1</sub> receptor","256",,"0","Human","Peptide"
"cetrorelix","1190","GnRH<sub>1</sub> receptor","256",,"0","Human","Peptide"
"(<i>R</i>)-cetirizine","1214","H<sub>1</sub> receptor","262",,"0","Human","Synthetic organic"
"cetirizine","1222","H<sub>1</sub> receptor","262",,"0","Human","Synthetic organic"
"diphenhydramine","1224","H<sub>1</sub> receptor","262",,"0","Human","Synthetic organic"
"doxepin","1225","NET","926",,"0","Human","Synthetic organic"
"doxepin","1225","SERT","928",,"0","Human","Synthetic organic"
"mepyramine","1227","H<sub>1</sub> receptor","262",,"0","Human","Synthetic organic"
"triprolidine","1228","H<sub>1</sub> receptor","262",,"0","Human","Synthetic organic"
"cimetidine","1231","H<sub>2</sub> receptor","263",,"0","Human","Synthetic organic"
"ranitidine","1234","H<sub>2</sub> receptor","263",,"0","Human","Synthetic organic"
"ramelteon","1356","MT<sub>1</sub> receptor","287",,"0","Human","Synthetic organic"
"ramelteon","1356","MT<sub>2</sub> receptor","288",,"0","Human","Synthetic organic"
"(-)-pentazocine","1606","sigma non-opioid intracellular receptor 1","2552",,"0","Human","Synthetic organic"
"fentanyl","1626","&mu; receptor","319",,"0","Human","Synthetic organic"
"morphine","1627","&mu; receptor","319",,"0","Human","Natural product"
"nalmefene","1628","&kappa; receptor","318",,"0","Human","Synthetic organic"
"nalmefene","1628","&mu; receptor","319",,"0","Human","Synthetic organic"
"nalorphine","1629","&mu; receptor","319",,"0","Human","Synthetic organic"
"naloxone","1638","&delta; receptor","317",,"0","Human","Synthetic organic"
"naloxone","1638","&kappa; receptor","318",,"0","Human","Synthetic organic"
"naltrexone","1639","&delta; receptor","317",,"0","Human","Synthetic organic"
"naltrexone","1639","&kappa; receptor","318",,"0","Human","Synthetic organic"
"naltrexone","1639","&mu; receptor","319",,"0","Human","Synthetic organic"
"nalbuphine","1663","&delta; receptor","317",,"0","Human","Synthetic organic"
"nalbuphine","1663","&kappa; receptor","318",,"0","Human","Synthetic organic"
"nalbuphine","1663","&mu; receptor","319",,"0","Human","Synthetic organic"
"buprenorphine","1670","&kappa; receptor","318",,"0","Human","Synthetic organic"
"buprenorphine","1670","&mu; receptor","319",,"0","Human","Synthetic organic"
"codeine","1673","&mu; receptor","319",,"0","Human","Natural product"
"ticagrelor","1765","P2Y<sub>12</sub> receptor","328",,"0","Human","Synthetic organic"
"cangrelor","1776","P2Y<sub>12</sub> receptor","328",,"0","Human","Synthetic organic"
"PGE<sub>1</sub>","1882","EP<sub>1</sub> receptor","340",,"0","Human","Metabolite"
"PGE<sub>1</sub>","1882","EP<sub>2</sub> receptor","341",,"0","Human","Metabolite"
"PGE<sub>2</sub>","1883","EP<sub>1</sub> receptor","340",,"0","Human","Metabolite"
"PGE<sub>2</sub>","1883","EP<sub>2</sub> receptor","341",,"0","Human","Metabolite"
"iloprost","1895","IP receptor","345",,"0","Human","Synthetic organic"
"PGI<sub>2</sub>","1915","EP<sub>1</sub> receptor","340",,"0","Human","Metabolite"
"misoprostol (methyl ester)","1936","EP<sub>3</sub> receptor","342",,"0","Human","Synthetic organic"
"bimatoprost","1958","FP receptor","344",,"0","Human","Synthetic organic"
"latanoprost (free acid form)","1960","FP receptor","344",,"0","Human","Synthetic organic"
"latanoprost (isopropyl ester)","1961","FP receptor","344",,"0","Human","Synthetic organic"
"pasireotide","2018","SST<sub>1</sub> receptor","355",,"0","Human","Peptide"
"pasireotide","2018","SST<sub>2</sub> receptor","356",,"0","Human","Peptide"
"pasireotide","2018","SST<sub>3</sub> receptor","357",,"0","Human","Peptide"
"pasireotide","2018","SST<sub>5</sub> receptor","359",,"0","Human","Peptide"
"lanreotide","2031","SST<sub>2</sub> receptor","356",,"0","Human","Peptide"
"lanreotide","2031","SST<sub>5</sub> receptor","359",,"0","Human","Peptide"
"vapreotide","2054","SST<sub>2</sub> receptor","356",,"0","Human","Peptide"
"vapreotide","2054","SST<sub>3</sub> receptor","357",,"0","Human","Peptide"
"vapreotide","2054","SST<sub>5</sub> receptor","359",,"0","Human","Peptide"
"TRH","2139","TRH<sub>1</sub> receptor","363",,"0","Rat","Peptide"
"dexamfetamine","2147","NET","926",,"0","Human","Synthetic organic"
"dexamfetamine","2147","DAT","927",,"0","Human","Synthetic organic"
"vasopressin","2168","V<sub>1A</sub> receptor","366",,"0","Human","Peptide"
"vasopressin","2168","V<sub>1B</sub> receptor","367",,"0","Human","Peptide"
"vasopressin","2168","V<sub>2</sub> receptor","368",,"0","Human","Peptide"
"oxytocin","2174","OT receptor","369",,"0","Human","Peptide"
"conivaptan","2203","V<sub>1A</sub> receptor","366",,"0","Human","Synthetic organic"
"conivaptan","2203","V<sub>2</sub> receptor","368",,"0","Human","Synthetic organic"
"tolvaptan","2226","V<sub>2</sub> receptor","368",,"0","Human","Synthetic organic"
"cocaine","2286","DAT","927",,"0","Rat","Natural product"
"ondansetron","2290","5-HT<sub>3</sub>AB","378",,"0","Human","Synthetic organic"
"ondansetron","2290","5-HT<sub>3</sub>A","379",,"0","Human","Synthetic organic"
"alosetron","2296","5-HT<sub>3</sub>A","379",,"0","Human","Synthetic organic"
"diltiazem","2298","Ca<sub>v</sub>1.1","528",,"0","Rabbit","Synthetic organic"
"granisetron","2300","5-HT<sub>3</sub>A","379",,"0","Human","Synthetic organic"
"nitrendipine","2334","Ca<sub>v</sub>1.3","530",,"0","Human","Synthetic organic"
"colchicine","2367","tubulin beta class I","2640",,"0","Human","Synthetic organic"
"progesterone","2377","Progesterone receptor","627",,"0","Human","Metabolite"
"clomipramine","2398","NET","926",,"0","Human","Synthetic organic"
"clomipramine","2398","SERT","928",,"0","Human","Synthetic organic"
"desipramine","2399","NET","926",,"0","Human","Synthetic organic"
"desipramine","2399","SERT","928",,"0","Human","Synthetic organic"
"halothane","2401","K<sub>2P</sub>9.1","520",,"0","Human","Synthetic organic"
"halothane","2401","K<sub>2P</sub>10.1","521",,"0","Human","Synthetic organic"
"maprotiline","2402","NET","926",,"0","Human","Synthetic organic"
"nortriptyline","2404","NET","926",,"0","Human","Synthetic organic"
"nortriptyline","2404","SERT","928",,"0","Human","Synthetic organic"
"verapamil","2406","Ca<sub>v</sub>1.1","528",,"0","Rabbit","Synthetic organic"
"verapamil","2406","Ca<sub>v</sub>1.2","529",,"0","Rat","Synthetic organic"
"fingolimod","2407","S1P<sub>1</sub> receptor","275",,"0","Human","Synthetic organic"
"fingolimod","2407","S1P<sub>5</sub> receptor","279",,"0","Human","Synthetic organic"
"glibenclamide","2414","K<sub>ir</sub>6.2","442",,"0","Human","Synthetic organic"
"fampridine","2416","K<SUB>v</SUB>1.8","545",,"0","Human","Synthetic organic"
"fampridine","2416","K<SUB>v</SUB>2.2","547",,"0","Human","Synthetic organic"
"fampridine","2416","K<SUB>v</SUB>4.1","552",,"0","Human","Synthetic organic"
"amiloride","2421","ENaC&alpha;&beta;&gamma;","742",,"0","Human","Synthetic organic"
"&Delta;<sup>9</sup>-tetrahydrocannabinol","2424","CB<sub>1</sub> receptor","56",,"0","Human","Natural product"
"(-)-menthol","2430","TRPM8","500",,"0","Human","Natural product"
"capsaicin","2486","TRPV1","507",,"0","Human","Natural product"
"NO","2509","Guanylyl cyclase, &alpha;<sub>1</sub>&beta;<sub>1</sub>","1287",,"0","Human","Inorganic"
"nimodipine","2523","Mineralocorticoid receptor","626",,"0","Human","Synthetic organic"
"propafenone","2561","&beta;<sub>1</sub>-adrenoceptor","28",,"0","Human","Synthetic organic"
"sibutramine","2586","NET","926",,"0","Human","Synthetic organic"
"sibutramine","2586","DAT","927",,"0","Human","Synthetic organic"
"mefenamic acid","2593","COX-1 ","1375",,"0","Human","Synthetic organic"
"mefenamic acid","2593","COX-2 ","1376",,"0","Human","Synthetic organic"
