"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Ligand id","Name","Species","Type","PubChem SID","PubChem CID","ChEMBl ID","Chebi ID","UniProt id","Ensembl ID","IUPAC name","INN","CAS","DrugBank ID","Drug Central ID"
"6159","12-hydroxyheptadecatrienoic acid","","Metabolite","178102780","5283141","","CHEBI:63977","","","(5Z,8E,10E,12S)-12-hydroxyheptadeca-5,8,10-trienoic acid","","54397-84-1","",""
"6922","12-hydroxylauric acid","","Metabolite","178103504","79034","CHEMBL55068","CHEBI:39567","","","12-Hydroxydodecanoic acid","","505-95-3","",""
"11354","12-Imidazolyl-1-dodecanol","","Synthetic organic","440816723","25269122","","","","","12-(1H-imidazol-2-yl)dodecan-1-ol","","","",""
"3405","12R-HETE","","Metabolite","135651371","5283156","CHEMBL1435825","CHEBI:34144","","","(5Z,8Z,10E,12R,14Z)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","","","",""
"5101","12R-HPETE","","Metabolite","178101794","9548885","","CHEBI:34145","","","(5Z,8Z,10E,12R,14Z)-12-hydroperoxyicosa-5,8,10,14-tetraenoic acid","","126873-49-2","",""
"3404","12S-HETE","","Metabolite","135651372","5283155","CHEMBL1526258","CHEBI:34146","","","(5Z,8Z,10E,12S,14Z)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","","54397-83-0","",""
"2481","12S-HPETE","","Metabolite","53800990","5280892","CHEMBL1447811","CHEBI:15626","","","(5Z,8Z,10E,12S,14Z)-12-hydroperoxyicosa-5,8,10,14-tetraenoic acid","","71774-10-2","",""
"5508","12S-[<sup>3</sup>H]HETE","","Synthetic organic","178102154","5283155","CHEMBL1526258","","","","(5Z,8Z,10E,12S,14Z)-12-hydroxyicosa-5,8,10,14-tetraenoic acid","","","",""
"1900","13,14-dihydro-15-keto-PGD<sub>2</sub>","","Synthetic organic","135649648","5283036","","","","","(Z)-7-[(1R,2R,5S)-5-hydroxy-3-oxo-2-(3-oxooctyl)cyclopentyl]hept-5-enoic acid","","","",""
"1901","13,14-dihydro-15-keto-PGF<sub>2&alpha;</sub>","","Metabolite","135651373","5283039","","CHEBI:63976","","","(Z)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-(3-oxooctyl)cyclopentyl]hept-5-enoic acid","","27376-76-7","",""
"1955","13,14-dihydro-16-<i>m</i>-chlorophenoxy-<i>w</i>-tetranor-PGF<sub>1&alpha;</sub>","","Synthetic organic","135649649","5311240","CHEMBL36041","","","","7-[(1R,2R,3R,5S)-2-[(3R)-4-(3-chlorophenoxy)-3-hydroxybutyl]-3,5-dihydroxycyclopentyl]heptanoic acid","","","",""
"1946","13,14-dihydro-PGE<sub>1</sub>","","Metabolite","135651374","161273","CHEMBL1476810","","","","7-[(1R,2R,3R)-3-hydroxy-2-[(3S)-3-hydroxyoctyl]-5-oxocyclopentyl]heptanoic acid","","19313-28-1","",""
"8343","135PAM1","","Synthetic organic","252166555","56953333","","","","","3-[3,5-bis(trifluoromethyl)phenyl]-1-[(3,4-dichlorophenyl)methyl]-1-[2-(5-methoxy-1H-indol-3-yl)ethyl]urea","","","",""
"6684","1,3-ditolylguanidine","","Synthetic organic","178103296","7333","CHEMBL282433","","","","1,2-bis(2-methylphenyl)guanidine","","97-39-2","",""
"5426","13-HODE","","Synthetic organic","178102079","5282947","","CHEBI:72639","","","(9Z,11E)-13-hydroxyoctadeca-9,11-dienoic acid","","18104-45-5","",""
"6671","13-<i>cis</i>-retinal","","Metabolite","178103283","6436079","CHEMBL1579130","CHEBI:45487","","","(2Z,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraenal","","472-86-6","",""
"6672","13-<i>cis</i>-retinol","","Metabolite","178103284","9904001","CHEMBL1454290","CHEBI:45479","","","(2Z,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)nona-2,4,6,8-tetraen-1-ol","","2052-63-3","",""
"5102","1400W","","Synthetic organic","178101795","1433","CHEMBL107251","","","","(E)-N'-{[3-(aminomethyl)phenyl]methyl}ethenimidamide","","180001-34-7","",""
"5098","1,4,-IP<sub>2</sub>","","Metabolite","178101791","25203530","","CHEBI:58282","","","[(2R,3S,5R,6R)-2,3,5,6-tetrahydroxy-4-phosphonatooxycyclohexyl] phosphate","","47055-78-7","",""
"2692","15-deoxy-&Delta;-12,14-prostaglandin J2","","Metabolite","135651375","5311211","CHEMBL482477","","","","(Z)-7-[(1S,5E)-5-[(E)-oct-2-enylidene]-4-oxo-1-cyclopent-2-enyl]hept-5-enoic acid","","87893-55-8","",""
"1904","15-deoxy-&Delta;<sup>12,14</sup>-PGD<sub>2</sub>","","Metabolite","135651376","5283052","CHEMBL164599","","","","(Z)-7-[(1R,2E,5S)-5-hydroxy-2-[(E)-oct-2-enylidene]-3-oxocyclopentyl]hept-5-enoic acid","","","",""
"1877","15-deoxy-&Delta;<sup>12,14</sup>-PGJ<sub>2</sub>","","Synthetic organic","53801020","5283035","CHEMBL520218","","","","(Z)-7-[(1S,5E)-5-[(Z)-oct-2-enylidene]-4-oxo-1-cyclopent-2-enyl]hept-5-enoic acid","","","",""
"3402","15-deoxy-LXA4","","Metabolite","135651377","9880904","","","","","(5S,6R,7E,9E,11E,13E)-5,6-dihydroxyicosa-7,9,11,13-tetraenoic acid","","","",""
"5865","15-deoxy-TIC","","Synthetic organic","178102489","9842229","","","","","5-[(3aS,5R,6R,6aS)-5-hydroxy-6-[(E)-4-(3-methylphenyl)but-1-enyl]-1,3a,4,5,6,6a-hexahydropentalen-2-yl]pentanoic acid","","220119-27-7","",""
"5099","1,5,-IP<sub>2</sub>","","Metabolite","178101792","128419","","CHEBI:18225","","","[(1R,2S,4R,5S)-2,3,4,6-tetrahydroxy-5-phosphonooxycyclohexyl] dihydrogen phosphate","","","DB02942",""
"1902","15(<i>R</i>)-15-methyl-PGD<sub>2</sub>","","Synthetic organic","135649652","5283097","","","","","(Z)-7-[(1R,2R,5S)-5-hydroxy-2-[(E,3R)-3-hydroxy-3-methyloct-1-enyl]-3-oxocyclopentyl]hept-5-enoic acid","","210978-26-0","",""
"1903","15(<i>S</i>)-15-methyl-PGD<sub>2</sub>","","Synthetic organic","135649653","5283051","","","","","(Z)-7-[(1R,2R,5S)-5-hydroxy-2-[(E,3S)-3-hydroxy-3-methyloct-1-enyl]-3-oxocyclopentyl]hept-5-enoic acid","","85280-90-6","",""
"5864","15R-TIC","","Synthetic organic","178102488","9821452","","","","","5-[(3aS,5R,6R,6aS)-5-hydroxy-6-[(E,3R)-3-hydroxy-4-(3-methylphenyl)but-1-enyl]-1,3a,4,5,6,6a-hexahydropentalen-2-yl]pentanoic acid","","175169-68-3","",""
"3401","15S-HETE","","Metabolite","135651378","5280724","CHEMBL594621","CHEBI:15558","","","(5Z,8Z,11Z,13E,15S)-15-hydroxyicosa-5,8,11,13-tetraenoic acid","icomucret","","",""
"2482","15S-HPETE","","Metabolite","135651379","5280893","CHEMBL1606580","CHEBI:15628","","","(5Z,8Z,11Z,13E,15S)-15-hydroperoxyicosa-5,8,11,13-tetraenoic acid","","70981-96-3","",""
"1926","16,16-dimethyl-PGE<sub>2</sub>","","Synthetic organic","135651380","5283066","CHEMBL1221529","","","","(Z)-7-[(1R,2R,3R)-3-hydroxy-2-[(E,3R)-3-hydroxy-4,4-dimethyloct-1-enyl]-5-oxocyclopentyl]hept-5-enoic acid","","39746-25-3","",""
"12965","16&alpha;-hydroxyestrone","","Synthetic organic","485206086","115116","CHEMBL1233720","CHEBI:776","","","(8R,9S,13S,14S,16R)-3,16-dihydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one","","","",""
"6923","16-HETE","","Metabolite","178103505","6442739","","CHEBI:63994","","","(5Z,8Z,11Z,14Z)-16-hydroxyicosa-5,8,11,14-tetraenoic acid","","128914-46-5","",""
"6291","1,6-hexamethylene diisocyanate","","Synthetic organic","178102911","13192","CHEMBL1896533","CHEBI:53578","","","1,6-Diisocyanatohexane","","822-06-0","",""
"12600","17&alpha;-estradiol","","Metabolite","479821390","68570","CHEMBL286452","CHEBI:17160","","","(8R,9S,13S,14S,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol","","","",""
"5103","17&alpha;-hydroxypregnenolone","","Metabolite","178101796","91451","CHEMBL408706","CHEBI:28750","","","1-[(1S,2R,5S,10R,11S,14R,15S)-5,14-dihydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-7-en-14-yl]ethan-1-one","","387-79-1","",""
"5104","17&alpha;-hydroxyprogesterone","","Metabolite","178101797","6238","CHEMBL1062","CHEBI:17252","","","(1S,2R,10R,11S,14R,15S)-14-acetyl-14-hydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadec-6-en-5-one","","68-96-2","",""
"1013","17&beta;-estradiol","","Metabolite","135651381","5757","CHEMBL135","CHEBI:16469","","","(8R,9S,13S,14S,17S)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol","estradiol","50-28-2","DB00783","1057"
"8851","17-octadecynoic acid","","Synthetic organic","252827508","1449","CHEMBL182310","","","","octadec-17-ynoic acid","","34450-18-5","",""
"1912","17-phenyl-<i>&omega;</i>-trinor-PGE<sub>2</sub>","","Synthetic organic","135651383","5283068","CHEMBL1879970","","","","(Z)-7-[(1R,2R,3R)-3-hydroxy-2-[(E,3S)-3-hydroxy-5-phenylpent-1-enyl]-5-oxocyclopentyl]hept-5-enoic acid","","","",""
"9832","[18F]PF-06684511","","Synthetic organic","374883830","134611882","","","","","N-[3-[(4aS,5S,7aS)-2-amino-5-(fluoromethyl)-4,4a,5,7-tetrahydrofuro[3,4-d][1,3]thiazin-7a-yl]-4-fluorophenyl]-5-methoxypyrazine-2-carboxamide","","","",""
"6924","18-HETE","","Metabolite","178103506","6442778","","CHEBI:63579","","","(5Z,8Z,11Z,14Z)-18-hydroxyicosa-5,8,11,14-tetraenoic acid","","133268-58-3","",""
"3400","18R-HEPE","","Metabolite","178100412","16061126","","","","","(5Z,8Z,11Z,14Z,16E,18R)-18-hydroxyicosa-5,8,11,14,16-pentaenoic acid","","312516-11-3","",""
"5105","18S-HEPE","","Metabolite","178101798","52921893","","","","","(5Z,8Z,11Z,14Z,16E,18S)-18-hydroxyicosa-5,8,11,14,16-pentaenoic acid","","","",""
"5106","18S-resolvin E1","","Metabolite","178101799","52921890","","","","","(5S,6Z,8E,10E,12R,14Z,16E,18S)-5,12,18-trihydroxyicosa-6,8,10,14,16-pentaenoic acid","","","",""
"12741","'1988","","Synthetic organic","483123289","167820262","","","","","[2-(4-bromoanilino)-2-oxoethyl] 3-(furan-3-yl)-1H-pyrazole-5-carboxylate","","","",""
"4100","1,9-dideoxyforskolin","","Natural product","178100923","107948","CHEMBL519570","","","","(3R,4aS,5S,6S,6aS,10aS,10bR)-3-ethenyl-6-hydroxy-3,4a,7,7,10a-pentamethyl-1-oxo-dodecahydro-1H-naphtho[2,1-b]pyran-5-yl acetate","","64657-18-7","",""
"1947","19(<i>R</i>)-OH-PGE<sub>2</sub>","","Metabolite","135651384","5283038","","","","","(Z)-7-[(1R,2R,3R)-2-[(E,3S,7R)-3,7-dihydroxyoct-1-enyl]-3-hydroxy-5-oxocyclopentyl]hept-5-enoic acid","","55123-68-7","",""
"6298","1'-acetoxychavicol acetate","","Synthetic organic","178102918","119104","CHEMBL323727","","","","[4-[(1S)-1-acetyloxyprop-2-enyl]phenyl] acetate","","52946-22-2","",""
"3136","1-allyl-2-[3-(isopropylamino)propoxy]-9H-carbazole","","Synthetic organic","135649655","9949081","","","","","(3-{[1-(prop-2-en-1-yl)-9H-carbazol-2-yl]oxy}propyl)(propan-2-yl)amine","","","",""
"3135","1-allyl-2-[3-(isopropylamino)propoxy]-9H-xanthen-9-one","","Synthetic organic","135649656","56947004","","","","","1-(prop-2-en-1-yl)-2-{3-[(propan-2-yl)amino]propoxy}-9H-xanthen-9-one","","204061-69-8","",""
"711","1-arylmethylpyrrolidin-2-yl ethanol amine","","Synthetic organic","135649657","44405854","CHEMBL200312","","","","3-{[(2R)-2-[(1R)-2-{[1-(1-benzothiophen-2-yl)-2-methylpropan-2-yl]amino}-1-hydroxyethyl]pyrrolidin-1-yl]methyl}benzonitrile","","","",""
"8018","1-azakenpaullone","","Synthetic organic","249565698","6538897","CHEMBL336961","","","","","","676596-65-9","",""
"1436","1-benzyl-APDC","","Synthetic organic","135649658","15508178","CHEMBL60238","","","","4-amino-1-(phenylmethyl)pyrrolidine-2,4-dicarboxylic acid","","171336-76-8","",""
"6991","[1-bromo-(3S)-hydrox-4-(palmitoyloxy)butyl]phosphate","","Synthetic organic","178103570","23682233","","","","","sodium;[(3S)-1-bromo-4-hexadecanoyloxy-3-hydroxybutyl]-hydroxyphosphinate","","","",""
"4642","1-deoxynojirimycin","","Natural product","178101359","29435","CHEMBL307429","","","","(2R,3R,4R,5S)-2-(hydroxymethyl)piperidine-3,4,5-triol","","19130-96-2","",""
"4744","1-deoxynojirimycin-1-sulfonic acid","","Synthetic organic","178101455","11128501","","","","","(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)piperidine-2-sulfonic acid","","","",""
"1477","1DMe","","Peptide","135651955","132709","","","","","(2S)-2-[[(2S)-1-[(2S)-5-amino-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]-methylamino]-4-methylpentanoyl]amino]-3-phenylpropanoyl]amino]-5-oxopentanoyl]pyrrolidine-2-carbonyl]amino]-N-[(2S)-1-[[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]amino]-5-(diaminomethylideneamino)-1-oxopentan-2-yl]pentanediamide","","","",""
"8551","1G244","","Synthetic organic","252166752","56658139","CHEMBL1814633","","","","(2S)-2-amino-4-[4-[bis(4-fluorophenyl)methyl]piperazin-1-yl]-1-(1,3-dihydroisoindol-2-yl)butane-1,4-dione","","","",""
"1365","(1<i>S</i>,3<i>R</i>)-ACPD","","Synthetic organic","135649666","104766","CHEMBL34453","","","","(1S,3R)-1-aminocyclopentane-1,3-dicarboxylic acid","","","",""
"6500","1-methylcyclopropanecarboxylic acid","","Synthetic organic","178103114","81326","","","","","1-methylcyclopropane-1-carboxylic acid","","6914-76-7","",""
"8225","1-methyl-L-tryptophan","","Synthetic organic","249565905","676159","CHEMBL504816","","","","(2S)-2-amino-3-(1-methylindol-3-yl)propanoic acid","","21339-55-9","",""
"4694","1-methyltryptophan","","Synthetic organic","178101407","98112","CHEMBL513172","","","","2-amino-3-(1-methyl-1H-indol-3-yl)propanoic acid","","","",""
"3","1-naphthylpiperazine","","Synthetic organic","135649669","1342","CHEMBL277120","","","","1-naphthalen-1-ylpiperazine","","57536-86-4","",""
"1944","1-OH-PGE<sub>1</sub>","","Metabolite","135651385","6438402","","","","","7-[(1R,2R,3R)-2-[(E,3S)-3,7-dihydroxyoct-1-enyl]-3-hydroxy-5-oxocyclopentyl]heptanoic acid","","55123-67-6","",""
"5756","1-oleoyl glycerol","","Synthetic organic","178102381","5283468","CHEMBL428593","","","","2,3-dihydroxypropyl (Z)-octadec-9-enoate","","111-03-5","",""
"5650","1-palmitoyl-lysophosphatidylcholine","","Metabolite","178102278","10097314","","CHEBI:64563","","","[(2S)-3-hexadecanoyloxy-2-hydroxypropyl] 2-trimethylazaniumylethyl phosphate","","17364-16-8","",""
"2284","1-phenylbiguanide","","Synthetic organic","135649670","4780","CHEMBL13791","CHEBI:113504","","","1-(diaminomethylidene)-2-phenylguanidine","","55-57-2","",""
"10138","1R-11","","Synthetic organic","381118848","134264089","","","","","methyl (E,5S,6R)-5,6-dihydroxy-8-[5-[(1R)-1-hydroxyhexyl]-1,2-dimethylimidazol-4-yl]oct-7-enoate","","","",""
"5651","1-stearoyl-lysophosphatidylcholine","","Metabolite","178102279","497299","CHEMBL3093101","CHEBI:64561","","","[(2R)-2-hydroxy-3-octadecanoyloxypropyl] 2-trimethylazaniumylethyl phosphate","","17364-19-1","",""
"4103","20-HETE","","Metabolite","178100926","5283157","","CHEBI:34306","","","(5Z,8Z,11Z,14Z)-20-hydroxyicosa-5,8,11,14-tetraenoic acid","","79551-86-3","",""
"3399","20-hydroxy-LTB<sub>4</sub>","","Metabolite","135651386","5280745","CHEMBL1593789","CHEBI:15646","","","(5S,6Z,8E,10E,12R,14Z)-5,12,20-trihydroxyicosa-6,8,10,14-tetraenoic acid","","79516-82-8","",""
"3434","20S-hydroxycholesterol","","Metabolite","178100436","66764985","","","","","(3R,8S,9S,10R,13R,14S,17R)-17-[(1S)-1,5-dimethylhexyl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-1,3-diol","","","",""
"6329","2,2,2-TEMPS","","Synthetic organic","178102947","11362035","CHEMBL105296","","","","2,2,2-trifluoro-N-(3-pentan-2-yloxyphenyl)-N-(pyridin-3-ylmethyl)ethanesulfonamide","","353234-67-0","",""
"3213","2,2-difluoromevalonate 5-diphosphate","","Synthetic organic","135649680","24779755","CHEMBL1162018","","","","2,2-difluoro-3-hydroxy-5-(hydroxy-phosphonooxyphosphoryl)oxy-3-methylpentanoic acid","","","",""
"1729","2,2'-pyridylisatogen tosylate","","Synthetic organic","135649681","124333","CHEMBL1364808","","","","4-methylbenzenesulfonic acid; 1-oxido-2-pyridin-2-ylindol-1-ium-3-one","","","",""
"2742","22R-hydroxycholesterol","","Metabolite","135651388","167685","CHEMBL422904","","","","(3S,8S,9S,10R,13S,14S,17R)-17-[(2S,3R)-3-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","","22348-64-7","",""
"1193","2-(2-thiazolyl)ethanamine","","Synthetic organic","135649682","87653","CHEMBL25414","","","","2-(1,3-thiazol-2-yl)ethanamine","","18453-07-1","",""
"12963","2,3',4,5'-Tetramethoxystilbene","","Synthetic organic","485206084","5354004","CHEMBL46909","CHEBI:92804","","","1-[(1E)-2-(3,5-dimethoxyphenyl)ethenyl]-2,4-dimethoxy-benzene","","","",""
"1194","2-(3-bromophenyl)histamine","","Synthetic organic","135649684","23786499","CHEMBL26116","","","","2-[2-(3-bromophenyl)-3H-imidazol-4-yl]ethanamine","","","",""
"9207","2'3'-cGAMP","","Metabolite","315661283","135564529","","","","","","","","",""
"1195","2-(3-chlorophenyl)histamine","","Synthetic organic","135649685","14827778","CHEMBL287052","","","","2-[2-(3-chlorophenyl)-3H-imidazol-4-yl]ethanamine","","","",""
"1709","2',3'-ddATP","","Metabolite","135651389","65304","CHEMBL1383","","","","[(2S,5R)-5-(6-aminopurin-9-yl)oxolan-2-yl]methyl (hydroxy-phosphonooxyphosphoryl) hydrogen phosphate","","24027-80-3","DB02189",""
"3486","2,3-dihydro-1,4-dithiin-1,1,4,4-tetroxide","","Synthetic organic","178100476","20549618","","","","","2,3-dihydro-1,4-dithiine 1,1,4,4-tetraoxide","","","",""
"1196","2-(3-iodophenyl)histamine","","Synthetic organic","135649687","10245039","CHEMBL287367","","","","2-[2-(3-iodophenyl)-3H-imidazol-4-yl]ethanamine","","","",""
"4102","2,4-epi-neodysiherbaine","","Synthetic organic","178100925","73755077","","","","","(2R,6S,7S)-2-[(2R)-2-azaniumyl-2-carboxylatoethyl]-6,7-dihydroxy-hexahydro-2H-furo[3,2-b]pyran-2-carboxylate","","","",""
"2751","24(S), 25-epoxycholesterol","","Metabolite","135651390","3247059","CHEMBL434302","","","","(3S,8S,9S,10R,13R,14S,17R)-17-[(2R)-4-[(2S)-3,3-dimethyloxiran-2-yl]butan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","","77058-74-3","",""
"2750","24(S)-hydroxycholesterol","","Metabolite","135651391","121948","CHEMBL171804","CHEBI:34310","","","(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5S)-5-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","","474-73-7","",""
"5108","2',5'-dideoxyadenosine","","Metabolite","178101801","65166","CHEMBL1253350","","","","(2R,3S,5R)-5-(6-amino-9H-purin-9-yl)-2-methyloxolan-3-ol","","6698-26-6","",""
"2885","25-hydroxycholesterol","","Metabolite","135651392","65094","CHEMBL169046","CHEBI:42977","","","(3S,8S,9S,10R,13R,14S,17R)-17-[(2R)-6-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","","2140-46-7","",""
"6529","264W94","","Synthetic organic","178103143","9823277","CHEMBL332370","","","","(3R,5R)-3-butyl-3-ethyl-7,8-dimethoxy-5-phenyl-4,5-dihydro-2H-benzo[f][1,4]thiazepine 1,1-dioxide","","","",""
"2752","27-hydroxycholesterol","","Metabolite","135651393","123976","CHEMBL353882","CHEBI:76591","","","(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,6R)-7-hydroxy-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol","","20380-11-4","",""
"12740","'2882","","Synthetic organic","483123288","166191898","","","","","(6-bromoimidazo[1,2-a]pyridin-2-yl)methyl 3-(furan-2-yl)-1H-pyrazole-5-carboxylate","","","",""
"6719","29-methylidene-2,3-oxidosqualene","","Synthetic organic","178103330","6438780","","","","","2,2-dimethyl-3-[(3E,7E,11E,15E,19Z)-3,7,12-trimethyl-16-prop-2-enylhenicosa-3,7,11,15,19-pentaenyl]oxirane","","","",""
"4695","2-amino-3-sulfinopropanoic acid","","Synthetic organic","178101408","109","CHEMBL1702607","","","","2-amino-3-sulfinopropanoic acid","","2381-08-0","",""
"5111","2-amino-4-methylpyridine","","Synthetic organic","178101804","1533","CHEMBL40833","","","","4-methylpyridin-2-amine","","695-34-1","","172"
"6201","2-amino-uridine-5'-monophosphate","","Synthetic organic","178102822","49867142","CHEMBL1233534","","","","{[(2R,3S,4R,5R)-5-(2-amino-4-oxo-1,4-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid","","","",""
"2433","2-APB","","Synthetic organic","135649695","1598","CHEMBL169233","","","","2-di(phenyl)boranyloxyethanamine","","524-95-8","",""
"729","2-arachidonoylglycerol","","Metabolite","135651394","5282280","CHEMBL122972","CHEBI:52392","","","1,3-Dihydroxy-2-propanyl (5Z,8Z,11Z,14Z)-5,8,11,14-eicosatetraenoate","","53847-30-6","",""
"4029","2-arachidonoylglycerolphosphoinositol","","Metabolite","178100855","73755068","","","","","[3-hydroxy-2-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoyl]oxypropyl] (2,3,4,5,6-pentahydroxycyclohexyl) phosphate","","","",""
"5545","2-arachidonyl glyceryl ether","","Metabolite","178102187","6483057","CHEMBL146346","","","","2-[(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoxy]propane-1,3-diol","","222723-55-9","",""
"272","2-bromo-LSD","","Synthetic organic","135649696","10171","CHEMBL274384","","","","(6aR,9R)-5-bromo-N,N-diethyl-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide","","","",""
